recovery_id,loan_id,recovery_date,recovery_source,gross_recovery_amount,principal_recovery,interest_recovery,fee_recovery,source_reference
REC000209001,L000209,2021-03-12,Settlement,83025.64,83025.64,0,0,SETTLE-000209
REC000212001,L000212,2021-04-09,Settlement,16115.56,16115.56,0,0,SETTLE-000212
REC000215001,L000215,2022-04-01,Collateral Liquidation,242493.14,242493.14,0,0,COLL000215
REC000234001,L000234,2023-12-12,Settlement,667.42,667.42,0,0,SETTLE-000234
REC000247001,L000247,2023-02-12,Settlement,9370.71,9370.71,0,0,SETTLE-000247
REC000256001,L000256,2023-07-13,Settlement,12810.66,12810.66,0,0,SETTLE-000256
REC000259001,L000259,2022-05-14,Settlement,21805.49,21805.49,0,0,SETTLE-000259
REC000262001,L000262,2021-04-13,Settlement,83659.3,83659.3,0,0,SETTLE-000262
REC000263001,L000263,2021-06-13,Settlement,31397.95,31397.95,0,0,SETTLE-000263
REC000265001,L000265,2021-10-14,Settlement,101214.02,101214.02,0,0,SETTLE-000265
REC000267001,L000267,2025-01-02,Legal Recovery,92.32,92.32,0,0,LEGAL-000267
REC000271001,L000271,2021-11-14,Settlement,28162.32,28162.32,0,0,SETTLE-000271
REC000273001,L000273,2022-07-15,Settlement,12705.82,12705.82,0,0,SETTLE-000273
REC000278001,L000278,2022-04-14,Settlement,11440.53,11440.53,0,0,SETTLE-000278
REC000281001,L000281,2022-06-14,Settlement,13126.53,13126.53,0,0,SETTLE-000281
REC000288001,L000288,2022-10-15,Settlement,2856.18,2856.18,0,0,SETTLE-000288
REC000292001,L000292,2023-04-15,Settlement,4091.77,4091.77,0,0,SETTLE-000292
REC000296001,L000296,2022-03-16,Settlement,9998.41,9998.41,0,0,SETTLE-000296
REC000307001,L000307,2022-03-17,Settlement,55666.79,55666.79,0,0,SETTLE-000307
REC000311001,L000311,2022-12-17,Settlement,26677.84,26677.84,0,0,SETTLE-000311
REC000315001,L000315,2021-12-18,Settlement,26848.97,26848.97,0,0,SETTLE-000315
REC000317001,L000317,2023-06-28,Collateral Liquidation,922510.1,536482.13,386027.97,0,COLL000317
REC000320001,L000320,2022-01-18,Settlement,17049.67,17049.67,0,0,SETTLE-000320
REC000325001,L000325,2021-07-18,Settlement,22809.3,22809.3,0,0,SETTLE-000325
REC000330001,L000330,2021-12-18,Settlement,35130.57,35130.57,0,0,SETTLE-000330
REC000344001,L000344,2021-03-20,Settlement,110738.52,110738.52,0,0,SETTLE-000344
REC000346001,L000346,2021-04-20,Settlement,26910.14,26910.14,0,0,SETTLE-000346
REC000353001,L000353,2021-09-20,Settlement,26138.59,26138.59,0,0,SETTLE-000353
REC000354001,L000354,2021-10-20,Settlement,26595.16,26595.16,0,0,SETTLE-000354
REC000369001,L000369,2021-03-22,Settlement,96372.43,96372.43,0,0,SETTLE-000369
REC000371001,L000371,2023-11-22,Settlement,9663.62,9663.62,0,0,SETTLE-000371
REC000379001,L000379,2021-09-22,Settlement,51454.24,51454.24,0,0,SETTLE-000379
REC000380001,L000380,2023-11-23,Settlement,15523.43,15523.43,0,0,SETTLE-000380
REC000384001,L000384,2021-08-23,Settlement,67635.18,67635.18,0,0,SETTLE-000384
REC000385001,L000385,2021-06-23,Settlement,32938.53,32938.53,0,0,SETTLE-000385
REC000390001,L000390,2022-11-23,Settlement,21900.17,21900.17,0,0,SETTLE-000390
REC000397001,L000397,2021-12-24,Settlement,80950.15,80950.15,0,0,SETTLE-000397
REC000410001,L000410,2021-12-25,Settlement,88464.03,88464.03,0,0,SETTLE-000410
REC000416001,L000416,2021-09-26,Settlement,19311.19,19311.19,0,0,SETTLE-000416
REC000419001,L000419,2021-09-27,Settlement,67359.28,67359.28,0,0,SETTLE-000419
REC000420001,L000420,2023-02-27,Settlement,34923.59,34923.59,0,0,SETTLE-000420
REC000424001,L000424,2023-09-12,Legal Recovery,1577.13,1577.13,0,0,LEGAL-000424
REC000428001,L000428,2021-03-28,Settlement,73465.57,73465.57,0,0,SETTLE-000428
REC000435001,L000435,2023-10-28,Settlement,12162.07,12162.07,0,0,SETTLE-000435
REC000444001,L000444,2021-05-29,Settlement,87208.8,87208.8,0,0,SETTLE-000444
REC000450001,L000450,2022-10-29,Settlement,95539.76,95539.76,0,0,SETTLE-000450
REC000452001,L000452,2021-03-29,Settlement,12279.28,12279.28,0,0,SETTLE-000452
REC000453001,L000453,2021-04-29,Settlement,76973.39,76973.39,0,0,SETTLE-000453
REC000489001,L000489,2022-04-01,Settlement,78740.59,78740.59,0,0,SETTLE-000489
REC000500001,L000500,2023-07-03,Settlement,15630.31,15630.31,0,0,SETTLE-000500
REC000503001,L000503,2026-01-02,Settlement,0,0,0,0,SETTLE-000503
REC000514001,L000514,2021-04-03,Settlement,251944.48,251944.48,0,0,SETTLE-000514
REC000515001,L000515,2022-05-04,Settlement,2588.42,2588.42,0,0,SETTLE-000515
REC000517001,L000517,2022-02-16,Collateral Liquidation,180382.36,180232.95,149.41,0,COLL000517
REC000523001,L000523,2022-11-04,Settlement,19797.45,19797.45,0,0,SETTLE-000523
REC000542001,L000542,2023-02-07,Settlement,158618.21,158618.21,0,0,SETTLE-000542
REC000543001,L000543,2021-11-07,Settlement,16366.62,16366.62,0,0,SETTLE-000543
REC000547001,L000547,2022-01-07,Settlement,5099.6,5099.6,0,0,SETTLE-000547
REC000551001,L000551,2021-05-09,Settlement,70213.86,70213.86,0,0,SETTLE-000551
REC000552001,L000552,2024-10-09,Settlement,7001.23,7001.23,0,0,SETTLE-000552
REC000554001,L000554,2021-12-09,Settlement,114353.9,114353.9,0,0,SETTLE-000554
REC000562001,L000562,2021-06-24,Collateral Liquidation,164275.97,164275.97,0,0,COLL000562
REC000581001,L000581,2021-04-11,Settlement,35453.9,35453.9,0,0,SETTLE-000581
REC000584001,L000584,2021-05-12,Settlement,38241.13,38241.13,0,0,SETTLE-000584
REC000600001,L000600,2023-12-16,Settlement,46570.8,46570.8,0,0,SETTLE-000600
REC000610001,L000610,2021-12-23,Legal Recovery,690.11,690.11,0,0,LEGAL-000610
REC000631001,L000631,2022-01-06,Collateral Liquidation,479352.02,479352.02,0,0,COLL000631
REC000644001,L000644,2021-11-20,Settlement,24226.21,24226.21,0,0,SETTLE-000644
REC000647001,L000647,2021-06-21,Settlement,208115.41,208115.41,0,0,SETTLE-000647
REC000653001,L000653,2025-05-21,Settlement,9081.96,9081.96,0,0,SETTLE-000653
REC000656001,L000656,2023-07-21,Settlement,5362.32,5362.32,0,0,SETTLE-000656
REC000658001,L000658,2022-12-21,Settlement,1161.58,1161.58,0,0,SETTLE-000658
REC000659001,L000659,2022-01-21,Settlement,48416,48416,0,0,SETTLE-000659
REC000675001,L000675,2021-08-22,Settlement,178610.47,178610.47,0,0,SETTLE-000675
REC000681001,L000681,2021-06-23,Settlement,54811.19,54811.19,0,0,SETTLE-000681
REC000691001,L000691,2022-11-24,Settlement,4434.52,4434.52,0,0,SETTLE-000691
REC000693001,L000693,2024-05-24,Settlement,57261.29,57261.29,0,0,SETTLE-000693
REC000696001,L000696,2021-08-24,Settlement,460073.24,460073.24,0,0,SETTLE-000696
REC000698001,L000698,2021-10-24,Settlement,55815.94,55815.94,0,0,SETTLE-000698
REC000700001,L000700,2021-06-24,Settlement,27045.83,27045.83,0,0,SETTLE-000700
REC000702001,L000702,2021-05-25,Settlement,78945.25,78945.25,0,0,SETTLE-000702
REC000704001,L000704,2022-06-30,Legal Recovery,43313.46,43313.46,0,0,LEGAL-000704
REC000706001,L000706,2022-03-25,Settlement,54012.35,54012.35,0,0,SETTLE-000706
REC000714001,L000714,2021-11-26,Legal Recovery,5782.78,5782.78,0,0,LEGAL-000714
REC000721001,L000721,2022-04-26,Settlement,41796.65,41796.65,0,0,SETTLE-000721
REC000722001,L000722,2022-11-27,Settlement,19386.68,19386.68,0,0,SETTLE-000722
REC000723001,L000723,2021-06-27,Settlement,84542.86,84542.86,0,0,SETTLE-000723
REC000725001,L000725,2025-04-27,Settlement,68568.62,68568.62,0,0,SETTLE-000725
REC000738001,L000738,2021-05-28,Settlement,44713.43,44713.43,0,0,SETTLE-000738
REC000748001,L000748,2021-04-29,Settlement,57116,57116,0,0,SETTLE-000748
REC000751001,L000751,2021-04-29,Settlement,90407.35,90407.35,0,0,SETTLE-000751
REC000755001,L000755,2021-07-30,Settlement,80198.13,80198.13,0,0,SETTLE-000755
REC000756001,L000756,2022-10-30,Settlement,73474.23,73474.23,0,0,SETTLE-000756
REC000766001,L000766,2021-10-30,Settlement,6873.44,6873.44,0,0,SETTLE-000766
REC000770001,L000770,2021-10-31,Settlement,26541.52,26541.52,0,0,SETTLE-000770
REC000776001,L000776,2022-05-31,Settlement,59763.13,59763.13,0,0,SETTLE-000776
REC000777001,L000777,2022-01-31,Settlement,28570.66,28570.66,0,0,SETTLE-000777
REC000802001,L000802,2022-05-03,Settlement,113241.33,113241.33,0,0,SETTLE-000802
REC000812001,L000812,2022-08-03,Settlement,41287.54,41287.54,0,0,SETTLE-000812
REC000814001,L000814,2021-10-04,Settlement,20796.77,20796.77,0,0,SETTLE-000814
REC000816001,L000816,2022-01-03,Settlement,18646,18646,0,0,SETTLE-000816
REC000818001,L000818,2022-07-04,Settlement,63325.8,63325.8,0,0,SETTLE-000818
REC000833001,L000833,2022-01-06,Settlement,15605.27,15605.27,0,0,SETTLE-000833
REC000835001,L000835,2022-10-07,Settlement,27375.58,27375.58,0,0,SETTLE-000835
REC000847001,L000847,2021-08-07,Settlement,27581.19,27581.19,0,0,SETTLE-000847
REC000848001,L000848,2024-01-07,Settlement,34240.05,34240.05,0,0,SETTLE-000848
REC000857001,L000857,2021-12-09,Settlement,13017.2,13017.2,0,0,SETTLE-000857
REC000872001,L000872,2023-01-09,Settlement,77761.32,77761.32,0,0,SETTLE-000872
REC000874001,L000874,2021-11-09,Settlement,130365.58,130365.58,0,0,SETTLE-000874
REC000876001,L000876,2021-10-10,Settlement,20480.13,20480.13,0,0,SETTLE-000876
REC000883001,L000883,2021-09-03,Collateral Liquidation,178062.13,178062.13,0,0,COLL000883
REC000886001,L000886,2022-12-11,Settlement,94721.17,94721.17,0,0,SETTLE-000886
REC000888001,L000888,2022-06-10,Settlement,45601.54,45601.54,0,0,SETTLE-000888
REC000889001,L000889,2023-03-13,Settlement,3966.54,3966.54,0,0,SETTLE-000889
REC000904001,L000904,2023-01-12,Settlement,28457.97,28457.97,0,0,SETTLE-000904
REC000905001,L000905,2022-04-12,Settlement,19193.1,19193.1,0,0,SETTLE-000905
REC000906001,L000906,2022-08-12,Settlement,23567.09,23567.09,0,0,SETTLE-000906
REC000910001,L000910,2021-11-12,Settlement,79007.84,79007.84,0,0,SETTLE-000910
REC000921001,L000921,2021-06-14,Settlement,127474.93,127474.93,0,0,SETTLE-000921
REC000930001,L000930,2022-07-15,Settlement,14185.71,14185.71,0,0,SETTLE-000930
REC000961001,L000961,2021-11-17,Settlement,69514.34,69514.34,0,0,SETTLE-000961
REC000987001,L000987,2022-07-20,Settlement,19227.69,19227.69,0,0,SETTLE-000987
REC001028001,L001028,2023-07-24,Settlement,37960.66,37960.66,0,0,SETTLE-001028
REC001029001,L001029,2023-08-24,Settlement,4865.68,4865.68,0,0,SETTLE-001029
REC001030001,L001030,2022-12-24,Settlement,87648.71,87648.71,0,0,SETTLE-001030
REC001056001,L001056,2022-01-26,Settlement,6122.73,6122.73,0,0,SETTLE-001056
REC001057001,L001057,2021-12-27,Settlement,47606.1,47606.1,0,0,SETTLE-001057
REC001065001,L001065,2024-01-27,Settlement,19772.59,19772.59,0,0,SETTLE-001065
REC001068001,L001068,2021-12-28,Settlement,22716.45,22716.45,0,0,SETTLE-001068
REC001080001,L001080,2021-07-29,Settlement,120764.25,120764.25,0,0,SETTLE-001080
REC001084001,L001084,2022-04-29,Settlement,14557.05,14557.05,0,0,SETTLE-001084
REC001088001,L001088,2023-06-30,Settlement,5072.66,5072.66,0,0,SETTLE-001088
REC001097001,L001097,2022-03-30,Settlement,28813.69,28813.69,0,0,SETTLE-001097
REC001110001,L001110,2021-11-01,Settlement,77565.71,77565.71,0,0,SETTLE-001110
REC001112001,L001112,2024-06-01,Settlement,4989.77,4989.77,0,0,SETTLE-001112
REC001115001,L001115,2021-09-01,Settlement,350434.09,350434.09,0,0,SETTLE-001115
REC001116001,L001116,2022-10-02,Settlement,17018.4,17018.4,0,0,SETTLE-001116
REC001120001,L001120,2021-12-03,Settlement,146815.71,146815.71,0,0,SETTLE-001120
REC001122001,L001122,2021-07-03,Settlement,22196.28,22196.28,0,0,SETTLE-001122
REC001123001,L001123,2021-09-12,Legal Recovery,17475.51,17475.51,0,0,LEGAL-001123
REC001130001,L001130,2021-06-03,Settlement,18187.95,18187.95,0,0,SETTLE-001130
REC001140001,L001140,2022-01-05,Settlement,55101.24,55101.24,0,0,SETTLE-001140
REC001141001,L001141,2021-08-07,Legal Recovery,8951.6,8951.6,0,0,LEGAL-001141
REC001143001,L001143,2021-06-06,Settlement,30270.3,30270.3,0,0,SETTLE-001143
REC001158001,L001158,2022-08-08,Settlement,77509.2,77509.2,0,0,SETTLE-001158
REC001159001,L001159,2022-03-11,Settlement,82507.29,82507.29,0,0,SETTLE-001159
REC001164001,L001164,2022-01-24,Collateral Liquidation,161869.77,152603.27,9266.5,0,COLL001164
REC001170001,L001170,2023-07-11,Settlement,30053.25,30053.25,0,0,SETTLE-001170
REC001173001,L001173,2022-03-22,Legal Recovery,10451.02,10451.02,0,0,LEGAL-001173
REC001184001,L001184,2024-01-12,Settlement,66746.62,66746.62,0,0,SETTLE-001184
REC001196001,L001196,2021-11-03,Legal Recovery,10948.27,10948.27,0,0,LEGAL-001196
REC001197001,L001197,2021-12-14,Settlement,56353.43,56353.43,0,0,SETTLE-001197
REC001206001,L001206,2023-02-14,Settlement,4175.5,4175.5,0,0,SETTLE-001206
REC001209001,L001209,2022-02-14,Settlement,37671.4,37671.4,0,0,SETTLE-001209
REC001212001,L001212,2021-08-14,Settlement,15514.77,15514.77,0,0,SETTLE-001212
REC001216001,L001216,2024-11-14,Settlement,1174.7,1174.7,0,0,SETTLE-001216
REC001229001,L001229,2023-06-30,Legal Recovery,6798.56,6798.56,0,0,LEGAL-001229
REC001235001,L001235,2022-02-18,Settlement,17224.29,17224.29,0,0,SETTLE-001235
REC001247001,L001247,2021-10-18,Settlement,14817.31,14817.31,0,0,SETTLE-001247
REC001249001,L001249,2023-04-19,Settlement,26262.88,26262.88,0,0,SETTLE-001249
REC001253001,L001253,2022-06-19,Settlement,10583.31,10583.31,0,0,SETTLE-001253
REC001272001,L001272,2021-09-21,Settlement,57931.13,57931.13,0,0,SETTLE-001272
REC001277001,L001277,2021-07-22,Settlement,211746.83,211746.83,0,0,SETTLE-001277
REC001281001,L001281,2021-08-22,Collateral Liquidation,125063.77,125063.77,0,0,COLL001281
REC001290001,L001290,2021-10-22,Settlement,19228.13,19228.13,0,0,SETTLE-001290
REC001296001,L001296,2022-12-23,Settlement,38593.77,38593.77,0,0,SETTLE-001296
REC001300001,L001300,2022-07-23,Settlement,25162.09,25162.09,0,0,SETTLE-001300
REC001311001,L001311,2022-04-25,Settlement,41878.12,41878.12,0,0,SETTLE-001311
REC001312001,L001312,2021-10-28,Legal Recovery,10209.2,10209.2,0,0,LEGAL-001312
REC001316001,L001316,2022-10-25,Settlement,17225.49,17225.49,0,0,SETTLE-001316
REC001317001,L001317,2023-06-29,Collateral Liquidation,223623.37,148091.11,75532.26,0,COLL001317
REC001320001,L001320,2021-12-04,Legal Recovery,25324.44,25324.44,0,0,LEGAL-001320
REC001334001,L001334,2023-02-27,Settlement,132622.05,132622.05,0,0,SETTLE-001334
REC001338001,L001338,2021-08-27,Settlement,108535.84,108535.84,0,0,SETTLE-001338
REC001341001,L001341,2022-06-27,Settlement,143346.78,143346.78,0,0,SETTLE-001341
REC001342001,L001342,2022-05-27,Settlement,29412.55,29412.55,0,0,SETTLE-001342
REC001344001,L001344,2021-10-27,Settlement,42642.93,42642.93,0,0,SETTLE-001344
REC001345001,L001345,2022-12-28,Settlement,104377.99,104377.99,0,0,SETTLE-001345
REC001353001,L001353,2022-04-29,Settlement,16316.02,16316.02,0,0,SETTLE-001353
REC001362001,L001362,2024-04-30,Settlement,62613.64,62613.64,0,0,SETTLE-001362
REC001365001,L001365,2021-07-30,Settlement,68606.48,68606.48,0,0,SETTLE-001365
REC001371001,L001371,2021-12-01,Settlement,74928.23,74928.23,0,0,SETTLE-001371
REC001393001,L001393,2021-08-02,Settlement,109929.11,109929.11,0,0,SETTLE-001393
REC001407001,L001407,2021-12-04,Settlement,45753.29,45753.29,0,0,SETTLE-001407
REC001419001,L001419,2023-02-05,Settlement,25125.62,25125.62,0,0,SETTLE-001419
REC001424001,L001424,2021-07-06,Settlement,128142.45,128142.45,0,0,SETTLE-001424
REC001427001,L001427,2022-02-06,Settlement,23664.33,23664.33,0,0,SETTLE-001427
REC001429001,L001429,2021-09-04,Collateral Liquidation,153435.23,153435.23,0,0,COLL001429
REC001430001,L001430,2021-11-06,Settlement,104077.05,104077.05,0,0,SETTLE-001430
REC001437001,L001437,2023-08-07,Settlement,0,0,0,0,SETTLE-001437
REC001447001,L001447,2023-01-08,Settlement,31557.65,31557.65,0,0,SETTLE-001447
REC001448001,L001448,2022-03-05,Legal Recovery,24668.17,24668.17,0,0,LEGAL-001448
REC001451001,L001451,2021-12-02,Legal Recovery,12989.94,12989.94,0,0,LEGAL-001451
REC001455001,L001455,2022-04-09,Settlement,39304.47,39304.47,0,0,SETTLE-001455
REC001464001,L001464,2022-02-10,Settlement,27789.09,27789.09,0,0,SETTLE-001464
REC001468001,L001468,2025-06-10,Settlement,5726.13,5726.13,0,0,SETTLE-001468
REC001483001,L001483,2022-01-11,Settlement,135789.76,135789.76,0,0,SETTLE-001483
REC001489001,L001489,2024-10-22,Legal Recovery,8765.17,8765.17,0,0,LEGAL-001489
REC001490001,L001490,2023-12-13,Settlement,33361.98,33361.98,0,0,SETTLE-001490
REC001492001,L001492,2022-06-12,Settlement,14835.67,14835.67,0,0,SETTLE-001492
REC001518001,L001518,2023-12-04,Collateral Liquidation,495485.88,335079.23,160406.65,0,COLL001518
REC001518002,L001518,2023-12-24,Legal Recovery,63582.57,63582.57,0,0,LEGAL-001518
REC001523001,L001523,2022-03-15,Settlement,22095.4,22095.4,0,0,SETTLE-001523
REC001525001,L001525,2021-07-16,Settlement,46637.11,46637.11,0,0,SETTLE-001525
REC001539001,L001539,2022-08-17,Settlement,25974.02,25974.02,0,0,SETTLE-001539
REC001549001,L001549,2022-02-18,Settlement,98051,98051,0,0,SETTLE-001549
REC001566001,L001566,2021-10-19,Settlement,159480.14,159480.14,0,0,SETTLE-001566
REC001567001,L001567,2022-08-19,Settlement,14661.91,14661.91,0,0,SETTLE-001567
REC001577001,L001577,2022-09-20,Settlement,32277.1,32277.1,0,0,SETTLE-001577
REC001586001,L001586,2022-12-20,Settlement,18902.21,18902.21,0,0,SETTLE-001586
REC001594001,L001594,2021-12-21,Settlement,16117.26,16117.26,0,0,SETTLE-001594
REC001596001,L001596,2022-12-19,Legal Recovery,6476.89,6476.89,0,0,LEGAL-001596
REC001598001,L001598,2022-06-21,Settlement,70941.19,70941.19,0,0,SETTLE-001598
REC001609001,L001609,2023-01-20,Legal Recovery,2464.93,2464.93,0,0,LEGAL-001609
REC001615001,L001615,2021-12-24,Settlement,68235.13,68235.13,0,0,SETTLE-001615
REC001623001,L001623,2022-03-24,Settlement,38362.74,38362.74,0,0,SETTLE-001623
REC001625001,L001625,2023-01-24,Settlement,24222.62,24222.62,0,0,SETTLE-001625
REC001632001,L001632,2022-12-25,Settlement,22552.19,22552.19,0,0,SETTLE-001632
REC001635001,L001635,2023-11-25,Settlement,33813.85,33813.85,0,0,SETTLE-001635
REC001636001,L001636,2024-04-26,Settlement,8302.45,8302.45,0,0,SETTLE-001636
REC001639001,L001639,2022-02-26,Settlement,66049.62,66049.62,0,0,SETTLE-001639
REC001644001,L001644,2023-09-27,Settlement,9956.89,9956.89,0,0,SETTLE-001644
REC001645001,L001645,2021-10-27,Settlement,58253.13,58253.13,0,0,SETTLE-001645
REC001650001,L001650,2022-01-28,Settlement,21709.32,21709.32,0,0,SETTLE-001650
REC001655001,L001655,2022-01-28,Settlement,55053.65,55053.65,0,0,SETTLE-001655
REC001663001,L001663,2023-07-28,Settlement,13091.12,13091.12,0,0,SETTLE-001663
REC001665001,L001665,2022-05-28,Settlement,59261.44,59261.44,0,0,SETTLE-001665
REC001673001,L001673,2022-09-29,Settlement,0,0,0,0,SETTLE-001673
REC001691001,L001691,2021-08-31,Settlement,195314.54,195314.54,0,0,SETTLE-001691
REC001695001,L001695,2022-06-01,Settlement,39121.51,39121.51,0,0,SETTLE-001695
REC001699001,L001699,2024-04-01,Settlement,60059.57,60059.57,0,0,SETTLE-001699
REC001701001,L001701,2023-04-02,Settlement,119130.02,119130.02,0,0,SETTLE-001701
REC001713001,L001713,2022-12-04,Settlement,19029.26,19029.26,0,0,SETTLE-001713
REC001715001,L001715,2025-05-21,Legal Recovery,936.62,936.62,0,0,LEGAL-001715
REC001716001,L001716,2021-09-23,Collateral Liquidation,221174.25,221174.25,0,0,COLL001716
REC001719001,L001719,2021-10-04,Settlement,76905.53,76905.53,0,0,SETTLE-001719
REC001729001,L001729,2022-11-30,Legal Recovery,6249.36,6249.36,0,0,LEGAL-001729
REC001730001,L001730,2024-02-05,Settlement,90414.24,90414.24,0,0,SETTLE-001730
REC001749001,L001749,2022-03-10,Settlement,83853.06,83853.06,0,0,SETTLE-001749
REC001759001,L001759,2021-12-15,Legal Recovery,2116.31,2116.31,0,0,LEGAL-001759
REC001763001,L001763,2021-09-08,Settlement,109156.45,109156.45,0,0,SETTLE-001763
REC001767001,L001767,2023-02-08,Settlement,43351.62,43351.62,0,0,SETTLE-001767
REC001768001,L001768,2021-08-09,Settlement,51941.15,51941.15,0,0,SETTLE-001768
REC001769001,L001769,2021-10-10,Settlement,79890.46,79890.46,0,0,SETTLE-001769
REC001776001,L001776,2022-09-10,Settlement,26423.34,26423.34,0,0,SETTLE-001776
REC001782001,L001782,2021-08-10,Settlement,33537.4,33537.4,0,0,SETTLE-001782
REC001785001,L001785,2023-12-12,Settlement,66236.97,66236.97,0,0,SETTLE-001785
REC001786001,L001786,2021-09-11,Settlement,13464.98,13464.98,0,0,SETTLE-001786
REC001792001,L001792,2023-12-11,Legal Recovery,10232.09,10232.09,0,0,LEGAL-001792
REC001793001,L001793,2021-11-06,Legal Recovery,3527.01,3527.01,0,0,LEGAL-001793
REC001794001,L001794,2021-12-13,Settlement,8939.27,8939.27,0,0,SETTLE-001794
REC001797001,L001797,2022-09-12,Settlement,37818.92,37818.92,0,0,SETTLE-001797
REC001802001,L001802,2022-02-13,Settlement,13741.87,13741.87,0,0,SETTLE-001802
REC001806001,L001806,2021-10-14,Settlement,150768.46,150768.46,0,0,SETTLE-001806
REC001817001,L001817,2021-09-14,Settlement,100426.44,100426.44,0,0,SETTLE-001817
REC001819001,L001819,2023-07-15,Settlement,12446.11,12446.11,0,0,SETTLE-001819
REC001820001,L001820,2024-05-16,Settlement,4980.56,4980.56,0,0,SETTLE-001820
REC001828001,L001828,2021-12-25,Legal Recovery,8983.18,8983.18,0,0,LEGAL-001828
REC001833001,L001833,2023-01-18,Settlement,25198.96,25198.96,0,0,SETTLE-001833
REC001838001,L001838,2022-01-18,Settlement,16893.08,16893.08,0,0,SETTLE-001838
REC001846001,L001846,2022-11-19,Settlement,6009.96,6009.96,0,0,SETTLE-001846
REC001852001,L001852,2022-02-20,Settlement,50452.34,50452.34,0,0,SETTLE-001852
REC001853001,L001853,2022-02-20,Settlement,24254.62,24254.62,0,0,SETTLE-001853
REC001856001,L001856,2024-03-21,Settlement,38291.06,38291.06,0,0,SETTLE-001856
REC001861001,L001861,2022-04-01,Legal Recovery,4344.43,4344.43,0,0,LEGAL-001861
REC001862001,L001862,2022-10-21,Settlement,16240.32,16240.32,0,0,SETTLE-001862
REC001866001,L001866,2022-08-22,Settlement,15281.93,15281.93,0,0,SETTLE-001866
REC001871001,L001871,2023-12-23,Settlement,110965.84,110965.84,0,0,SETTLE-001871
REC001881001,L001881,2021-08-24,Settlement,31856.49,31856.49,0,0,SETTLE-001881
REC001885001,L001885,2022-06-25,Settlement,14994.2,14994.2,0,0,SETTLE-001885
REC001889001,L001889,2022-04-25,Settlement,227745.42,227745.42,0,0,SETTLE-001889
REC001900001,L001900,2023-03-27,Settlement,10906.32,10906.32,0,0,SETTLE-001900
REC001910001,L001910,2024-04-28,Settlement,93027.71,93027.71,0,0,SETTLE-001910
REC001911001,L001911,2022-06-28,Settlement,20264.35,20264.35,0,0,SETTLE-001911
