customer_id,age,gender,governorate,city,employment_type,job,employment_length_months,monthly_income,home_ownership,customer_segment,credit_score
C000032,33,Female,Cairo,Zamalek,Private Sector,Bank Employee,101,22188.56,Owned,Mass Affluent,648
C000033,28,Female,Giza,Sheikh Zayed,Government,Civil Servant,61,8525.23,Family-Owned,Mass Affluent,447
C000034,49,Female,Alexandria,Smouha,Self-Employed,Contractor,135,54829.49,Owned,Mass,684
C000035,41,Female,Cairo,Zamalek,Government,Police Officer,44,7770.8,Owned,Mass,650
C000036,65,Male,Beheira,Damanhur,Business Owner,Restaurant Owner,13,88214.89,Family-Owned,SME Owner,690
C000037,48,Male,Cairo,Zamalek,Private Sector,Sales Representative,251,10132.95,Rented,Affluent,444
C000038,29,Female,Giza,Sheikh Zayed,Government,Public Health Worker,121,10569.19,Owned,Affluent,578
C000039,51,Female,Qalyubia,Banha,Government,Teacher,12,8913.84,Owned,Mass Affluent,505
C000040,59,Male,Cairo,Heliopolis,Self-Employed,Doctor,313,25450.09,Rented,Mass Affluent,596
C000041,43,Male,Beheira,Damanhur,Self-Employed,Freelance Consultant,275,32515.43,Owned,Affluent,557
C000042,62,Male,Dakahlia,Mansoura,Private Sector,Bank Employee,141,24762.77,Owned,Mass,540
C000043,36,Female,Beheira,Damanhur,Government,Public Health Worker,195,13676.55,Family-Owned,Mass,644
C000044,33,Male,Alexandria,Sidi Gaber,Private Sector,Bank Employee,24,19593.72,Family-Owned,Mass Affluent,606
C000045,65,Male,Giza,6th of October,Government,Public Health Worker,127,11073.7,Family-Owned,Mass,598
C000046,65,Female,Gharbia,Al-Mahalla,Private Sector,Bank Employee,97,23355.55,Rented,Mass Affluent,642
C000047,40,Female,Qalyubia,Shubra El-Kheima,Government,Civil Servant,10,17457.35,Owned,Mass,614
C000048,37,Female,Qalyubia,Banha,Government,Teacher,223,13624.18,Owned,Mass Affluent,713
C000049,28,Male,Alexandria,Miami,Government,Civil Servant,74,13411.89,Rented,Mass,561
C000050,34,Female,Cairo,Nasr City,Private Sector,Accountant,163,28073.74,Family-Owned,Mass Affluent,605
C000051,39,Male,Cairo,New Cairo,Government,Civil Servant,183,16025.25,Family-Owned,Affluent,603
C000052,25,Female,Giza,Dokki,Business Owner,Retail Shop Owner,10,25250.76,Family-Owned,SME Owner,566
C000053,53,Male,Giza,6th of October,Private Sector,Sales Representative,279,45778.36,Owned,Mass,651
C000054,38,Female,Minya,Minya City,Business Owner,Restaurant Owner,150,21131.51,Rented,SME Owner,474
C000055,26,Female,Giza,Sheikh Zayed,Private Sector,IT Specialist,63,20385.44,Owned,Affluent,606
C000056,41,Female,Giza,Mohandessin,Government,Police Officer,62,11798.06,Family-Owned,Mass Affluent,523
C000057,34,Female,Cairo,New Cairo,Private Sector,Accountant,71,31119.37,Rented,Mass Affluent,616
C000058,50,Female,Alexandria,Miami,Government,Teacher,63,12813.98,Owned,Mass,613
C000059,25,Female,Cairo,Nasr City,Government,Civil Servant,38,17903.03,Owned,Mass,455
C000060,55,Female,Giza,Mohandessin,Self-Employed,Contractor,250,28108.87,Rented,Mass,504
C000061,23,Male,Sharqia,Zagazig,Government,Public Health Worker,23,12835.1,Family-Owned,Mass,507
C000062,27,Female,Qalyubia,Shubra El-Kheima,Self-Employed,Contractor,70,14791.16,Family-Owned,Mass Affluent,551
C000063,52,Male,Qalyubia,Banha,Business Owner,Restaurant Owner,280,65646.14,Family-Owned,SME Owner,616
C000064,39,Female,Dakahlia,Mansoura,Private Sector,Accountant,94,23927.33,Owned,Mass Affluent,481
C000065,52,Female,Cairo,Zamalek,Private Sector,Engineer,301,21708.18,Rented,Mass Affluent,650
C000066,61,Female,Beheira,Damanhur,Business Owner,Trading Business Owner,220,76691.91,Owned,SME Owner,735
C000067,22,Male,Minya,Minya City,Private Sector,Sales Representative,45,35975.78,Family-Owned,Mass,573
C000068,40,Female,Giza,Sheikh Zayed,Private Sector,Accountant,228,16633.52,Owned,Mass,533
C000069,31,Female,Alexandria,Smouha,Private Sector,Sales Representative,68,34926.25,Owned,Affluent,695
C000070,44,Male,Qalyubia,Shubra El-Kheima,Business Owner,Restaurant Owner,49,47895.17,Owned,SME Owner,515
C000071,56,Female,Assiut,Assiut City,Private Sector,Bank Employee,170,14543.9,Rented,Mass,595
C000072,47,Female,Suez,Suez City,Private Sector,Bank Employee,303,25963.67,Family-Owned,Mass,705
C000073,27,Male,Cairo,Nasr City,Business Owner,Trading Business Owner,90,39886.03,Rented,SME Owner,603
C000074,22,Male,Cairo,Maadi,Private Sector,Bank Employee,6,28811.19,Rented,Mass,561
C000075,38,Male,Cairo,Heliopolis,Self-Employed,Freelance Consultant,222,54165.87,Rented,Mass,673
C000076,54,Female,Cairo,New Cairo,Government,Public Health Worker,61,13290.33,Owned,Mass Affluent,641
C000077,24,Female,Giza,Mohandessin,Private Sector,Accountant,64,16485.87,Owned,Mass,511
C000078,54,Female,Beheira,Damanhur,Private Sector,Bank Employee,153,39666.3,Family-Owned,Mass Affluent,627
C000079,46,Female,Suez,Suez City,Private Sector,IT Specialist,215,40241.38,Owned,Mass Affluent,707
C000080,58,Female,Assiut,Assiut City,Self-Employed,Freelance Consultant,290,41132.93,Rented,Mass Affluent,669
C000081,27,Male,Giza,6th of October,Private Sector,Sales Representative,76,28826.14,Owned,Mass,623
C000082,22,Male,Sharqia,Zagazig,Private Sector,Sales Representative,14,29602.73,Owned,Mass Affluent,653
C000083,45,Male,Assiut,Assiut City,Government,Civil Servant,217,14209.56,Rented,Mass,652
C000084,52,Male,Sharqia,10th of Ramadan,Government,Public Health Worker,313,12960.47,Family-Owned,Mass,620
C000085,24,Male,Giza,Dokki,Private Sector,Bank Employee,3,15023.81,Owned,Mass Affluent,557
C000086,25,Female,Qalyubia,Shubra El-Kheima,Private Sector,Sales Representative,53,8537.97,Owned,Mass,580
C000087,65,Male,Alexandria,Miami,Government,Public Health Worker,188,9463.87,Rented,Mass Affluent,623
C000088,54,Male,Sharqia,Zagazig,Private Sector,Accountant,264,21744.52,Owned,Mass,718
C000089,62,Female,Gharbia,Al-Mahalla,Government,Civil Servant,41,9345.43,Family-Owned,Mass Affluent,450
C000090,30,Male,Cairo,New Cairo,Self-Employed,Lawyer,115,19049.29,Owned,Mass,445
C000091,25,Female,Dakahlia,Mansoura,Government,Police Officer,14,14659.14,Family-Owned,Mass Affluent,571
C000092,49,Female,Sharqia,10th of Ramadan,Private Sector,Accountant,55,35695.57,Family-Owned,Mass Affluent,588
C000093,45,Male,Giza,6th of October,Private Sector,Sales Representative,212,51110.41,Owned,Mass Affluent,705
C000094,63,Male,Cairo,New Cairo,Private Sector,Bank Employee,75,43813.19,Family-Owned,Mass Affluent,764
C000095,26,Male,Suez,Suez City,Private Sector,Bank Employee,85,52399.62,Rented,Mass,711
C000096,53,Male,Beheira,Damanhur,Government,Teacher,397,13214.69,Family-Owned,Mass,674
C000097,49,Male,Giza,Sheikh Zayed,Self-Employed,Doctor,25,41299.55,Owned,Mass,708
C000098,49,Female,Cairo,Maadi,Private Sector,Bank Employee,239,37252.52,Rented,Mass,651
C000099,44,Female,Alexandria,Sidi Gaber,Government,Public Health Worker,286,18365.96,Owned,Mass,733
C000100,47,Female,Cairo,Heliopolis,Self-Employed,Freelance Consultant,30,34974.03,Rented,Mass Affluent,576
C000101,23,Female,Minya,Minya City,Self-Employed,Doctor,21,53266.44,Owned,Mass Affluent,544
C000102,36,Male,Cairo,Zamalek,Government,Police Officer,80,7834.51,Family-Owned,Mass,532
C000103,48,Male,Cairo,Heliopolis,Self-Employed,Lawyer,3,43280.21,Owned,Mass,423
C000104,23,Female,Cairo,Maadi,Private Sector,IT Specialist,43,19685.64,Family-Owned,Mass Affluent,557
C000105,55,Male,Dakahlia,Mansoura,Government,Police Officer,176,14766.24,Family-Owned,Affluent,696
C000106,40,Female,Dakahlia,Mansoura,Self-Employed,Lawyer,206,35976.23,Owned,Mass Affluent,650
C000107,45,Male,Gharbia,Tanta,Self-Employed,Contractor,176,34888.68,Family-Owned,Affluent,659
C000108,40,Male,Cairo,Heliopolis,Government,Police Officer,231,12445.88,Family-Owned,Mass,679
C000109,44,Male,Cairo,Nasr City,Government,Public Health Worker,265,16013.45,Owned,Mass Affluent,575
C000110,44,Male,Giza,6th of October,Private Sector,IT Specialist,193,37250.44,Owned,Mass,785
C000111,56,Female,Giza,Sheikh Zayed,Private Sector,IT Specialist,63,22237.54,Owned,Mass,616
C000112,41,Male,Cairo,Maadi,Business Owner,Restaurant Owner,180,78724.55,Rented,SME Owner,701
C000113,29,Female,Qalyubia,Banha,Government,Civil Servant,63,10737.97,Owned,Mass,569
C000114,29,Male,Beheira,Damanhur,Self-Employed,Freelance Consultant,84,35613.04,Rented,Mass,548
C000115,40,Male,Alexandria,Miami,Self-Employed,Doctor,87,28901.64,Rented,Mass,547
C000116,55,Male,Qalyubia,Banha,Private Sector,Bank Employee,50,24660.94,Rented,Mass,530
C000117,37,Female,Minya,Minya City,Business Owner,Restaurant Owner,169,32058.97,Family-Owned,SME Owner,585
C000118,65,Female,Cairo,Heliopolis,Government,Teacher,33,9258.4,Family-Owned,Mass Affluent,598
C000119,53,Male,Cairo,Nasr City,Government,Police Officer,290,11394.86,Owned,Mass,590
C000120,33,Male,Cairo,Zamalek,Self-Employed,Lawyer,43,35568.27,Family-Owned,Affluent,567
C000121,24,Female,Alexandria,Smouha,Private Sector,Accountant,39,24556.71,Family-Owned,Mass Affluent,568
C000122,57,Male,Gharbia,Al-Mahalla,Government,Teacher,290,14539.14,Rented,Mass Affluent,554
C000123,46,Male,Alexandria,Smouha,Government,Teacher,194,19618.34,Owned,Mass Affluent,730
C000124,29,Female,Alexandria,Sidi Gaber,Private Sector,Bank Employee,86,17426.7,Family-Owned,Mass Affluent,506
C000125,44,Male,Gharbia,Tanta,Private Sector,Accountant,172,31677.31,Family-Owned,Mass,563
C000126,31,Female,Cairo,Maadi,Self-Employed,Contractor,137,68224.95,Family-Owned,Mass Affluent,592
C000127,29,Female,Suez,Suez City,Self-Employed,Freelance Consultant,56,38847,Rented,Mass,549
C000128,36,Female,Sharqia,10th of Ramadan,Private Sector,Engineer,74,35244.91,Family-Owned,Mass,719
C000129,46,Female,Alexandria,Miami,Government,Public Health Worker,179,9181.18,Family-Owned,Mass,624
C000130,36,Male,Giza,Sheikh Zayed,Government,Civil Servant,15,13754.73,Owned,Mass Affluent,551
C000131,47,Male,Cairo,New Cairo,Business Owner,Retail Shop Owner,337,45858.82,Owned,SME Owner,616
C000132,47,Male,Beheira,Damanhur,Business Owner,Retail Shop Owner,93,94440.15,Rented,SME Owner,575
C000133,42,Female,Cairo,New Cairo,Government,Teacher,148,12295.39,Family-Owned,Mass,660
C000134,21,Male,Beheira,Damanhur,Private Sector,Engineer,24,31559.69,Rented,Mass,625
C000135,32,Female,Alexandria,Miami,Private Sector,Accountant,38,52282.03,Rented,Mass,685
C000136,63,Female,Minya,Minya City,Private Sector,Accountant,63,23035.5,Family-Owned,Mass Affluent,577
C000137,35,Female,Gharbia,Tanta,Private Sector,Engineer,37,22993.09,Rented,Mass Affluent,488
C000138,25,Female,Beheira,Damanhur,Private Sector,Sales Representative,75,15429.46,Owned,Mass,503
C000139,24,Male,Sharqia,10th of Ramadan,Government,Public Health Worker,61,8337.11,Family-Owned,Mass,599
C000140,65,Female,Alexandria,Miami,Government,Police Officer,35,9402.98,Family-Owned,Mass Affluent,467
C000141,49,Male,Sharqia,10th of Ramadan,Private Sector,IT Specialist,196,21264.19,Owned,Affluent,589
C000142,40,Male,Cairo,Heliopolis,Self-Employed,Freelance Consultant,240,42174.43,Owned,Mass,677
C000143,60,Male,Sharqia,Zagazig,Government,Public Health Worker,395,9492.44,Owned,Mass,535
C000144,35,Female,Cairo,Maadi,Government,Police Officer,190,11307.42,Rented,Mass,651
C000145,56,Female,Alexandria,Miami,Private Sector,Accountant,305,40151.48,Rented,Mass Affluent,696
C000146,45,Male,Minya,Minya City,Private Sector,Sales Representative,97,31480.92,Rented,Mass,581
C000147,34,Male,Cairo,New Cairo,Private Sector,Sales Representative,87,27146.81,Family-Owned,Mass Affluent,650
C000148,40,Female,Gharbia,Tanta,Private Sector,Sales Representative,10,15644.26,Family-Owned,Mass Affluent,630
C000149,41,Female,Alexandria,Miami,Business Owner,Restaurant Owner,147,53413.37,Family-Owned,SME Owner,670
C000150,41,Female,Gharbia,Al-Mahalla,Business Owner,Trading Business Owner,214,20436.47,Owned,SME Owner,488
C000151,52,Female,Suez,Suez City,Government,Civil Servant,284,17154.09,Family-Owned,Mass Affluent,661
C000152,54,Female,Alexandria,Smouha,Government,Teacher,20,18255.5,Family-Owned,Mass Affluent,667
C000153,21,Male,Cairo,Zamalek,Private Sector,Accountant,29,10927.78,Rented,Affluent,548
C000154,43,Female,Cairo,Nasr City,Government,Police Officer,139,11716.84,Owned,Mass,641
C000155,65,Female,Suez,Suez City,Government,Teacher,90,7257.58,Rented,Affluent,576
C000156,64,Male,Qalyubia,Shubra El-Kheima,Government,Teacher,146,7365.49,Rented,Mass,711
C000157,64,Female,Gharbia,Al-Mahalla,Private Sector,IT Specialist,279,33528.9,Owned,Mass,689
C000158,22,Female,Assiut,Assiut City,Business Owner,Trading Business Owner,43,40606.78,Owned,SME Owner,527
C000159,36,Female,Cairo,Zamalek,Government,Police Officer,185,8223.38,Owned,Mass,643
C000160,29,Female,Cairo,Heliopolis,Self-Employed,Freelance Consultant,25,21224.96,Family-Owned,Mass,553
C000161,39,Male,Suez,Suez City,Self-Employed,Freelance Consultant,108,17848.55,Family-Owned,Mass,571
C000162,38,Male,Gharbia,Al-Mahalla,Government,Public Health Worker,110,11904,Family-Owned,Mass,661
C000163,46,Female,Giza,Mohandessin,Government,Teacher,173,11007.04,Family-Owned,Mass,577
C000164,41,Male,Cairo,New Cairo,Business Owner,Retail Shop Owner,195,46443.6,Owned,SME Owner,657
C000165,34,Male,Dakahlia,Mansoura,Business Owner,Trading Business Owner,115,100727.98,Owned,SME Owner,697
C000166,25,Female,Giza,Dokki,Self-Employed,Contractor,60,30293.96,Owned,Mass,633
C000167,57,Male,Giza,Dokki,Government,Teacher,333,12670.07,Owned,Mass,635
C000168,50,Male,Cairo,Zamalek,Private Sector,IT Specialist,350,34666.25,Rented,Mass,587
C000169,50,Male,Alexandria,Smouha,Private Sector,Sales Representative,108,41676.69,Owned,Mass Affluent,763
C000170,36,Female,Cairo,Zamalek,Private Sector,Engineer,135,17396.49,Family-Owned,Mass,672
C000171,33,Male,Gharbia,Tanta,Private Sector,Bank Employee,118,26034.15,Family-Owned,Mass Affluent,565
C000172,63,Male,Qalyubia,Shubra El-Kheima,Private Sector,Sales Representative,253,26797.29,Family-Owned,Mass,621
C000173,60,Male,Cairo,Maadi,Self-Employed,Lawyer,305,27709.23,Family-Owned,Mass,656
C000174,65,Male,Qalyubia,Shubra El-Kheima,Private Sector,Bank Employee,333,24858.5,Rented,Mass,672
C000175,47,Female,Cairo,Maadi,Self-Employed,Contractor,254,32527.45,Owned,Mass,596
C000176,56,Male,Giza,Dokki,Private Sector,IT Specialist,264,12543.22,Rented,Mass,572
C000177,62,Male,Beheira,Damanhur,Business Owner,Retail Shop Owner,387,77798.47,Family-Owned,SME Owner,786
C000178,60,Male,Dakahlia,Mansoura,Government,Police Officer,326,9805.13,Family-Owned,Mass,604
C000179,39,Male,Dakahlia,Mansoura,Private Sector,Sales Representative,149,33756.48,Rented,Mass Affluent,745
C000180,36,Female,Cairo,Nasr City,Government,Police Officer,197,8149.86,Family-Owned,Mass Affluent,677
C000181,41,Male,Qalyubia,Shubra El-Kheima,Private Sector,IT Specialist,4,51843.03,Rented,Mass Affluent,544
C000182,39,Female,Minya,Minya City,Private Sector,Sales Representative,89,20434.11,Owned,Mass Affluent,682
C000183,49,Female,Cairo,Heliopolis,Government,Civil Servant,236,5357.65,Owned,Affluent,550
C000184,24,Male,Cairo,Nasr City,Government,Civil Servant,53,12027.81,Owned,Mass,678
C000185,64,Male,Giza,Mohandessin,Private Sector,Bank Employee,230,8193.05,Family-Owned,Mass,656
C000186,29,Male,Cairo,New Cairo,Private Sector,Sales Representative,100,47169.81,Family-Owned,Mass Affluent,751
C000187,61,Female,Cairo,Nasr City,Private Sector,Engineer,386,14837.11,Owned,Mass,582
C000188,36,Female,Giza,Dokki,Private Sector,Engineer,73,30271.73,Rented,Mass Affluent,562
C000189,46,Female,Giza,Mohandessin,Government,Civil Servant,154,11812.38,Family-Owned,Mass,465
C000190,45,Male,Port Said,Port Said City,Business Owner,Retail Shop Owner,294,68038.88,Owned,SME Owner,636
C000191,23,Male,Giza,Mohandessin,Government,Civil Servant,6,8752.84,Owned,Mass,499
C000192,58,Female,Giza,Mohandessin,Private Sector,IT Specialist,327,33590.65,Owned,Mass,657
C000193,40,Male,Suez,Suez City,Government,Teacher,92,7510.83,Owned,Mass,572
C000194,42,Male,Cairo,Zamalek,Self-Employed,Freelance Consultant,222,20881.7,Family-Owned,Mass,553
C000195,27,Female,Assiut,Assiut City,Private Sector,Sales Representative,76,49264.14,Rented,Mass Affluent,565
C000196,47,Male,Minya,Minya City,Government,Civil Servant,166,11445.24,Owned,Mass,581
C000197,50,Female,Giza,6th of October,Business Owner,Retail Shop Owner,147,97506.9,Family-Owned,SME Owner,691
C000198,33,Male,Cairo,Heliopolis,Private Sector,IT Specialist,142,56050.75,Family-Owned,Mass Affluent,818
C000199,63,Female,Cairo,Zamalek,Business Owner,Retail Shop Owner,195,100817.6,Rented,SME Owner,757
C000200,54,Male,Dakahlia,Mansoura,Government,Civil Servant,214,19971.79,Family-Owned,Mass,704
C000201,41,Female,Cairo,Maadi,Government,Police Officer,204,17102.25,Owned,Mass Affluent,702
C000202,28,Male,Beheira,Damanhur,Private Sector,IT Specialist,71,25110.81,Owned,Mass Affluent,615
C000203,30,Male,Giza,Mohandessin,Government,Police Officer,26,16503.87,Owned,Mass,530
C000204,29,Male,Qalyubia,Banha,Government,Teacher,34,5509.88,Family-Owned,Mass,548
C000205,33,Female,Giza,Dokki,Government,Teacher,168,8515.85,Rented,Mass,651
C000206,64,Female,Minya,Minya City,Private Sector,IT Specialist,221,25145.92,Family-Owned,Mass Affluent,599
C000207,51,Female,Dakahlia,Mansoura,Private Sector,Bank Employee,34,15816.42,Family-Owned,Mass Affluent,597
C000208,43,Female,Cairo,Heliopolis,Private Sector,IT Specialist,292,37169.72,Owned,Affluent,500
C000209,31,Male,Gharbia,Tanta,Self-Employed,Doctor,28,24387.68,Family-Owned,Affluent,454
C000210,65,Male,Cairo,Zamalek,Government,Police Officer,186,14854.32,Family-Owned,Mass,749
C000211,59,Male,Dakahlia,Mansoura,Government,Civil Servant,115,6755.15,Family-Owned,Affluent,595
C000212,28,Male,Sharqia,Zagazig,Government,Civil Servant,111,18778.13,Owned,Mass,640
C000213,61,Female,Cairo,Heliopolis,Self-Employed,Contractor,252,52192.1,Family-Owned,Mass,686
C000214,32,Male,Cairo,Zamalek,Self-Employed,Freelance Consultant,157,25210.58,Owned,Mass Affluent,615
C000215,31,Male,Cairo,Maadi,Private Sector,Sales Representative,25,33941.61,Owned,Mass,610
C000216,47,Male,Beheira,Damanhur,Government,Public Health Worker,88,16412.06,Owned,Mass,679
C000217,37,Female,Alexandria,Smouha,Government,Police Officer,29,8262.77,Owned,Affluent,618
C000218,59,Female,Sharqia,10th of Ramadan,Business Owner,Retail Shop Owner,225,44794.54,Family-Owned,SME Owner,565
C000219,46,Male,Qalyubia,Shubra El-Kheima,Government,Teacher,295,18615.78,Owned,Mass,719
C000220,40,Female,Giza,6th of October,Private Sector,Accountant,206,33282.29,Rented,Mass,702
C000221,50,Male,Sharqia,Zagazig,Government,Public Health Worker,137,15510.97,Family-Owned,Mass Affluent,575
C000222,54,Male,Cairo,New Cairo,Private Sector,IT Specialist,217,22387.14,Rented,Mass Affluent,669
C000223,32,Male,Cairo,Zamalek,Government,Public Health Worker,45,6432.75,Family-Owned,Mass,578
C000224,28,Female,Cairo,Nasr City,Self-Employed,Contractor,56,18872.95,Family-Owned,Mass,501
C000225,47,Female,Cairo,Maadi,Self-Employed,Lawyer,138,27714.28,Family-Owned,Mass Affluent,567
C000226,51,Female,Beheira,Damanhur,Private Sector,Accountant,140,18168.24,Owned,Mass Affluent,635
C000227,59,Male,Giza,Dokki,Government,Public Health Worker,333,8041.34,Family-Owned,Mass,563
C000228,32,Male,Alexandria,Miami,Self-Employed,Freelance Consultant,52,19764,Family-Owned,Mass,625
C000229,59,Male,Cairo,Heliopolis,Government,Public Health Worker,231,8807.92,Family-Owned,Mass Affluent,585
C000230,35,Male,Beheira,Damanhur,Self-Employed,Doctor,168,20648.9,Family-Owned,Mass,657
C000231,35,Female,Cairo,Zamalek,Private Sector,Accountant,67,26297.18,Rented,Mass,610
C000232,53,Female,Alexandria,Miami,Private Sector,Accountant,342,35531.74,Rented,Mass Affluent,717
C000233,33,Female,Dakahlia,Mansoura,Government,Police Officer,41,19182.98,Family-Owned,Mass Affluent,643
C000234,46,Female,Sharqia,10th of Ramadan,Government,Public Health Worker,201,17350.21,Rented,Mass Affluent,597
C000235,39,Female,Minya,Minya City,Self-Employed,Doctor,27,27283.92,Family-Owned,Mass,589
C000236,44,Male,Qalyubia,Banha,Self-Employed,Lawyer,136,55357.7,Family-Owned,Mass,809
C000237,54,Female,Giza,Sheikh Zayed,Self-Employed,Contractor,155,46042.28,Owned,Mass Affluent,678
C000238,41,Male,Gharbia,Al-Mahalla,Private Sector,Engineer,32,7940.05,Rented,Mass Affluent,539
C000239,46,Female,Giza,Mohandessin,Private Sector,IT Specialist,222,13080.16,Owned,Mass,578
C000240,45,Male,Qalyubia,Shubra El-Kheima,Private Sector,Accountant,260,36142.92,Family-Owned,Mass Affluent,627
C000241,43,Male,Cairo,Nasr City,Private Sector,IT Specialist,99,23575.91,Family-Owned,Mass,545
C000242,55,Female,Cairo,Nasr City,Private Sector,Sales Representative,322,11314.45,Family-Owned,Mass,640
C000243,34,Male,Sharqia,10th of Ramadan,Private Sector,Engineer,180,25464.91,Rented,Mass,623
C000244,33,Male,Sharqia,10th of Ramadan,Self-Employed,Contractor,158,22503.11,Owned,Mass,575
C000245,42,Female,Sharqia,Zagazig,Private Sector,IT Specialist,123,7420.57,Rented,Mass Affluent,638
C000246,39,Male,Giza,6th of October,Private Sector,IT Specialist,70,36223.41,Family-Owned,Mass,683
C000247,63,Female,Beheira,Damanhur,Government,Civil Servant,334,9605.24,Family-Owned,Mass,651
C000248,65,Female,Dakahlia,Mansoura,Government,Public Health Worker,247,17665.07,Owned,Mass,726
C000249,51,Male,Giza,Mohandessin,Private Sector,Engineer,252,30345.79,Rented,Mass Affluent,609
C000250,51,Female,Minya,Minya City,Private Sector,Engineer,180,43198.33,Owned,Affluent,758
C000251,25,Female,Alexandria,Miami,Self-Employed,Doctor,65,35475.11,Family-Owned,Mass,502
C000252,49,Female,Giza,Dokki,Government,Public Health Worker,164,7725.95,Rented,Mass Affluent,614
C000253,62,Female,Beheira,Damanhur,Self-Employed,Doctor,346,23112.45,Family-Owned,Mass Affluent,519
C000254,21,Male,Giza,Dokki,Government,Civil Servant,24,9053.71,Owned,Mass,565
C000255,27,Male,Gharbia,Tanta,Self-Employed,Contractor,35,41740.4,Rented,Mass,551
C000256,50,Male,Giza,Sheikh Zayed,Self-Employed,Contractor,340,31281.71,Rented,Mass Affluent,561
C000257,29,Male,Minya,Minya City,Private Sector,Engineer,29,27511.23,Owned,Affluent,654
C000258,65,Male,Giza,6th of October,Government,Police Officer,283,20592.5,Rented,Mass,703
C000259,28,Female,Giza,6th of October,Private Sector,Sales Representative,100,22490.04,Rented,Mass,628
C000260,33,Male,Giza,Dokki,Government,Teacher,71,8164.57,Family-Owned,Mass,563
C000261,36,Male,Assiut,Assiut City,Self-Employed,Contractor,133,56185.5,Family-Owned,Mass Affluent,629
C000262,33,Male,Qalyubia,Shubra El-Kheima,Government,Police Officer,161,18750.18,Rented,Mass,554
C000263,39,Female,Alexandria,Miami,Self-Employed,Doctor,117,31652.89,Owned,Mass,614
C000264,30,Female,Qalyubia,Shubra El-Kheima,Government,Public Health Worker,13,14592.57,Family-Owned,Mass,636
C000265,54,Male,Sharqia,10th of Ramadan,Government,Police Officer,115,14861.45,Family-Owned,Mass,647
C000266,49,Female,Minya,Minya City,Government,Police Officer,126,12728.33,Family-Owned,Mass,556
C000267,53,Male,Giza,Dokki,Government,Police Officer,414,15006.27,Rented,Mass,731
