collection_id,loan_id,collection_date,collection_stage,action_type,contact_attempt_number,collection_status,promise_to_pay_flag,promise_amount,promise_date
COL000020003,L000020,2021-11-24,Early,SMS,3,Escalated,TRUE,6874.08,2021-12-01
COL000020004,L000020,2022-03-21,Early,SMS,4,Contacted,TRUE,6874.08,2022-04-01
COL000020005,L000020,2022-11-23,Early,SMS,5,No Response,FALSE,,
COL000020006,L000020,2023-03-21,Early,SMS,6,Escalated,FALSE,,
COL000021001,L000021,2021-03-21,Early,SMS,1,Escalated,FALSE,,
COL000021002,L000021,2021-10-14,Mid,Phone Call,2,Promise Made,FALSE,,
COL000021003,L000021,2021-11-17,Mid,Phone Call,3,Promise Made,TRUE,3898.66,2021-11-29
COL000021004,L000021,2021-12-21,Legal,Legal Action,4,Contacted,TRUE,3898.66,2021-12-30
COL000022001,L000022,2022-02-27,Early,SMS,1,Escalated,TRUE,891.99,2022-03-05
COL000022002,L000022,2022-08-17,Early,SMS,2,Contacted,FALSE,,
COL000023001,L000023,2022-03-27,Early,SMS,1,No Response,TRUE,3578.55,2022-03-31
COL000023002,L000023,2022-09-27,Early,SMS,2,Escalated,FALSE,,
COL000024001,L000024,2021-05-15,Mid,Phone Call,1,No Response,FALSE,,
COL000024002,L000024,2021-06-25,Mid,Phone Call,2,No Response,FALSE,,
COL000024003,L000024,2021-07-27,Early,SMS,3,Contacted,TRUE,6543.95,2021-08-02
COL000024004,L000024,2021-11-26,Early,SMS,4,Contacted,FALSE,,
COL000024005,L000024,2021-12-28,Legal,Legal Action,5,Contacted,FALSE,,
COL000025001,L000025,2021-12-17,Early,SMS,1,Escalated,TRUE,2244.36,2021-12-29
COL000025002,L000025,2023-01-18,Early,SMS,2,Promise Made,TRUE,2244.36,2023-02-04
COL000026001,L000026,2021-06-16,Early,SMS,1,Promise Made,FALSE,,
COL000027001,L000027,2021-02-26,Mid,Phone Call,1,Contacted,TRUE,7616.52,2021-03-09
COL000027002,L000027,2021-04-29,Legal,Legal Action,2,Contacted,TRUE,7616.52,2021-04-30
COL000028001,L000028,2022-05-16,Early,SMS,1,Contacted,FALSE,,
COL000028002,L000028,2022-12-21,Early,SMS,2,Contacted,TRUE,3070.35,2023-01-05
COL000028003,L000028,2023-01-28,Early,SMS,3,No Response,FALSE,,
COL000029001,L000029,2021-03-25,Early,SMS,1,No Response,FALSE,,
COL000029002,L000029,2022-01-26,Early,SMS,2,Promise Made,FALSE,,
COL000029003,L000029,2022-05-22,Early,SMS,3,Escalated,FALSE,,
COL000029004,L000029,2022-07-20,Early,SMS,4,No Response,FALSE,,
COL000030001,L000030,2021-05-20,Early,SMS,1,Contacted,FALSE,,
COL000030002,L000030,2022-12-26,Early,SMS,2,Promise Made,FALSE,,
COL000031001,L000031,2021-05-26,Early,SMS,1,No Response,FALSE,,
COL000031002,L000031,2023-01-18,Early,SMS,2,Promise Made,FALSE,,
COL000031003,L000031,2023-12-18,Early,SMS,3,Escalated,FALSE,,
COL000031004,L000031,2024-01-28,Early,SMS,4,Contacted,FALSE,,
COL000031005,L000031,2024-06-15,Early,SMS,5,Escalated,TRUE,4924.23,2024-07-07
COL000031006,L000031,2024-09-25,Early,SMS,6,Promise Made,FALSE,,
COL000032001,L000032,2021-02-22,Early,SMS,1,No Response,FALSE,,
COL000032002,L000032,2021-09-22,Legal,Legal Action,2,No Response,TRUE,1427.64,2021-09-30
COL000033001,L000033,2021-03-27,Early,SMS,1,Contacted,TRUE,7854.03,2021-04-08
COL000033002,L000033,2021-04-18,Early,SMS,2,Escalated,FALSE,,
COL000033003,L000033,2021-05-18,Early,SMS,3,No Response,FALSE,,
COL000033004,L000033,2021-09-21,Early,SMS,4,Escalated,FALSE,,
COL000033005,L000033,2021-11-25,Legal,Legal Action,5,Promise Made,TRUE,7854.03,2021-12-02
COL000033006,L000033,2021-12-17,Legal,Legal Action,6,Promise Made,FALSE,,
COL000034001,L000034,2021-12-28,Early,SMS,1,Contacted,TRUE,8901.49,2022-01-01
COL000034002,L000034,2023-02-24,Early,SMS,2,No Response,FALSE,,
COL000036001,L000036,2021-08-27,Early,SMS,1,Escalated,FALSE,,
COL000036002,L000036,2021-10-25,Early,SMS,2,Contacted,FALSE,,
COL000037001,L000037,2022-04-30,Early,SMS,1,Contacted,FALSE,,
COL000037002,L000037,2024-07-17,Early,SMS,2,Promise Made,FALSE,,
COL000038001,L000038,2021-02-21,Legal,Legal Action,1,No Response,FALSE,,
COL000038002,L000038,2021-03-23,Legal,Legal Action,2,Contacted,FALSE,,
COL000038003,L000038,2021-12-17,Early,SMS,1,No Response,TRUE,9870.82,2022-01-06
COL000038004,L000038,2023-06-25,Legal,Legal Action,2,Contacted,TRUE,9870.82,2023-07-09
COL000039001,L000039,2023-06-21,Early,SMS,1,Contacted,FALSE,,
COL000040001,L000040,2022-08-27,Early,SMS,1,Contacted,FALSE,,
COL000040002,L000040,2022-09-19,Early,SMS,2,Promise Made,FALSE,,
COL000042001,L000042,2021-12-22,Early,SMS,1,Contacted,FALSE,,
COL000042002,L000042,2022-10-20,Early,SMS,2,No Response,TRUE,4469.9,2022-11-03
COL000043001,L000043,2021-08-17,Mid,Phone Call,1,Contacted,TRUE,7515.12,2021-09-04
COL000043002,L000043,2021-09-21,Legal,Legal Action,2,Contacted,FALSE,,
COL000043003,L000043,2022-12-22,Early,SMS,1,Escalated,FALSE,,
COL000043004,L000043,2024-06-21,Early,SMS,2,No Response,TRUE,5919.64,2024-07-08
COL000044001,L000044,2021-04-21,Early,SMS,1,Escalated,TRUE,9844.84,2021-05-01
COL000044002,L000044,2021-08-27,Early,SMS,2,Contacted,TRUE,9844.84,2021-09-08
COL000045001,L000045,2021-05-19,Early,SMS,1,No Response,TRUE,9794.41,2021-05-31
COL000045002,L000045,2022-05-24,Early,SMS,2,Escalated,FALSE,,
COL000045003,L000045,2022-07-29,Early,SMS,3,No Response,FALSE,,
COL000046001,L000046,2021-08-20,Early,SMS,1,No Response,FALSE,,
COL000046002,L000046,2022-09-23,Early,SMS,2,Escalated,FALSE,,
COL000046003,L000046,2022-10-30,Legal,Legal Action,3,Escalated,FALSE,,
COL000047001,L000047,2021-07-22,Early,SMS,1,No Response,FALSE,,
COL000047002,L000047,2022-01-17,Early,SMS,2,Escalated,FALSE,,
COL000048001,L000048,2021-07-26,Early,SMS,1,Promise Made,FALSE,,
COL000048002,L000048,2021-09-27,Early,SMS,2,Escalated,TRUE,5303.94,2021-10-11
COL000048003,L000048,2023-10-28,Early,SMS,3,Promise Made,FALSE,,
COL000048004,L000048,2024-03-26,Early,SMS,4,Contacted,FALSE,,
COL000048005,L000048,2024-04-18,Early,SMS,5,Promise Made,TRUE,5303.94,2024-05-10
COL000048006,L000048,2024-06-25,Early,SMS,6,Contacted,FALSE,,
COL000049001,L000049,2022-06-22,Early,SMS,1,Contacted,FALSE,,
COL000050001,L000050,2021-04-20,Early,SMS,1,Escalated,FALSE,,
COL000050002,L000050,2021-05-20,Legal,Legal Action,2,Contacted,FALSE,,
COL000050003,L000050,2021-11-18,Early,SMS,1,Contacted,TRUE,2874.2,2021-12-07
COL000050004,L000050,2022-09-30,Early,SMS,2,Promise Made,FALSE,,
COL000050005,L000050,2023-01-23,Early,SMS,3,No Response,FALSE,,
COL000050006,L000050,2023-02-23,Early,SMS,4,Promise Made,FALSE,,
COL000051001,L000051,2022-09-21,Legal,Legal Action,1,Escalated,FALSE,,
COL000052001,L000052,2021-07-01,Early,SMS,1,No Response,FALSE,,
COL000052002,L000052,2022-12-30,Legal,Legal Action,2,Escalated,FALSE,,
COL000052003,L000052,2023-04-19,Early,SMS,1,Escalated,FALSE,,
COL000054001,L000054,2021-02-21,Early,SMS,1,Contacted,FALSE,,
COL000054002,L000054,2021-06-24,Early,SMS,2,Escalated,FALSE,,
COL000054003,L000054,2021-07-29,Mid,Phone Call,3,Escalated,FALSE,,
COL000054004,L000054,2021-08-31,Mid,Phone Call,4,No Response,TRUE,3295.07,2021-09-01
COL000054005,L000054,2021-11-19,Mid,Phone Call,5,Promise Made,FALSE,,
COL000054006,L000054,2022-01-27,Legal,Legal Action,6,Contacted,FALSE,,
COL000054007,L000054,2022-12-19,Early,SMS,1,Promise Made,TRUE,2913.76,2023-01-01
COL000054008,L000054,2023-02-24,Early,SMS,2,Contacted,FALSE,,
COL000054009,L000054,2023-03-23,Early,SMS,3,No Response,FALSE,,
COL000054010,L000054,2023-06-30,Early,SMS,4,Contacted,FALSE,,
COL000054011,L000054,2023-12-21,Early,SMS,5,No Response,TRUE,2913.76,2024-01-09
COL000054012,L000054,2025-01-22,Early,SMS,6,No Response,FALSE,,
COL000055001,L000055,2021-02-25,Early,SMS,1,Escalated,FALSE,,
COL000055002,L000055,2021-08-30,Early,SMS,2,Escalated,FALSE,,
COL000055003,L000055,2022-07-30,Early,SMS,3,Escalated,TRUE,4361.48,2022-08-04
COL000055004,L000055,2024-01-17,Early,SMS,4,No Response,FALSE,,
COL000057001,L000057,2021-02-19,Early,SMS,1,Escalated,TRUE,16930.71,2021-03-13
COL000057002,L000057,2021-06-17,Early,SMS,2,Promise Made,FALSE,,
COL000057003,L000057,2021-08-22,Early,SMS,3,No Response,FALSE,,
COL000057004,L000057,2021-10-24,Mid,Phone Call,4,Contacted,FALSE,,
COL000057005,L000057,2022-02-25,Early,SMS,5,Escalated,FALSE,,
COL000057006,L000057,2022-04-23,Early,SMS,6,Contacted,FALSE,,
COL000057007,L000057,2022-06-25,Early,SMS,7,No Response,FALSE,,
COL000057008,L000057,2022-09-17,Mid,Phone Call,8,Contacted,FALSE,,
COL000057009,L000057,2022-10-18,Early,SMS,9,Contacted,FALSE,,
COL000057010,L000057,2023-01-20,Early,SMS,10,Promise Made,FALSE,,
COL000057011,L000057,2023-04-27,Early,SMS,11,Contacted,FALSE,,
COL000057012,L000057,2023-05-25,Early,SMS,12,Escalated,TRUE,16930.71,2023-06-04
COL000057013,L000057,2023-08-30,Early,SMS,13,Contacted,FALSE,,
COL000057014,L000057,2023-09-21,Mid,Phone Call,14,Contacted,FALSE,,
COL000057015,L000057,2023-10-24,Early,SMS,15,Contacted,TRUE,16930.71,2023-11-06
COL000057016,L000057,2024-01-20,Legal,Legal Action,16,Escalated,FALSE,,
COL000057017,L000057,2024-03-19,Early,SMS,1,No Response,FALSE,,
COL000057018,L000057,2025-09-27,Early,SMS,2,Promise Made,FALSE,,
COL000057019,L000057,2026-06-29,Early,SMS,3,Promise Made,FALSE,,
COL000058001,L000058,2022-10-30,Legal,Legal Action,1,Escalated,FALSE,,
COL000058002,L000058,2024-02-25,Early,SMS,1,No Response,TRUE,968.06,2024-03-12
COL000058003,L000058,2024-06-30,Early,SMS,2,Contacted,FALSE,,
COL000058004,L000058,2024-07-28,Early,SMS,3,Contacted,FALSE,,
COL000058005,L000058,2024-11-27,Legal,Legal Action,4,Escalated,TRUE,968.06,2024-12-10
COL000059001,L000059,2021-07-31,Early,SMS,1,No Response,FALSE,,
COL000059002,L000059,2023-02-22,Early,SMS,2,Contacted,FALSE,,
COL000060001,L000060,2022-11-29,Early,SMS,1,No Response,FALSE,,
COL000061001,L000061,2021-10-31,Early,SMS,1,No Response,TRUE,10849.45,2021-11-05
COL000062001,L000062,2021-07-23,Early,SMS,1,No Response,FALSE,,
COL000062002,L000062,2021-08-22,Mid,Phone Call,2,Escalated,FALSE,,
COL000062003,L000062,2021-09-19,Legal,Legal Action,3,No Response,FALSE,,
COL000063001,L000063,2021-05-29,Early,SMS,1,Promise Made,FALSE,,
COL000063002,L000063,2021-08-17,Legal,Legal Action,2,Contacted,FALSE,,
COL000064001,L000064,2022-10-24,Early,SMS,1,Escalated,FALSE,,
COL000065001,L000065,2021-11-19,Early,SMS,1,Escalated,TRUE,6419.19,2021-12-11
COL000066001,L000066,2021-04-25,Early,SMS,1,Promise Made,FALSE,,
COL000067001,L000067,2021-06-26,Early,SMS,1,No Response,FALSE,,
COL000068001,L000068,2021-05-21,Early,SMS,1,Promise Made,FALSE,,
COL000068002,L000068,2022-10-21,Early,SMS,2,No Response,TRUE,968.92,2022-11-08
COL000068003,L000068,2023-07-28,Early,SMS,3,Contacted,FALSE,,
COL000069001,L000069,2021-08-27,Early,SMS,1,Promise Made,FALSE,,
COL000069002,L000069,2023-10-26,Legal,Legal Action,2,Contacted,FALSE,,
COL000069003,L000069,2023-12-24,Early,SMS,1,Contacted,TRUE,4547.58,2024-01-05
COL000069004,L000069,2024-01-18,Legal,Legal Action,2,Promise Made,TRUE,4547.58,2024-02-11
COL000069005,L000069,2024-04-26,Early,SMS,3,Contacted,FALSE,,
COL000069006,L000069,2024-06-29,Early,SMS,4,Promise Made,TRUE,4547.58,2024-07-03
COL000069007,L000069,2024-08-28,Early,SMS,5,Contacted,TRUE,4547.58,2024-09-04
COL000069008,L000069,2024-10-27,Early,SMS,6,Escalated,FALSE,,
COL000069009,L000069,2025-01-30,Legal,Legal Action,7,Escalated,FALSE,,
COL000069010,L000069,2025-02-28,Early,SMS,8,No Response,TRUE,4547.58,2025-03-12
COL000069011,L000069,2025-03-30,Early,SMS,9,Escalated,FALSE,,
COL000069012,L000069,2025-11-26,Mid,Phone Call,10,Promise Made,FALSE,,
COL000069013,L000069,2025-12-21,Mid,Phone Call,11,No Response,TRUE,4547.58,2026-01-10
COL000069014,L000069,2026-01-29,Early,SMS,12,Promise Made,FALSE,,
COL000070001,L000070,2021-02-20,Early,SMS,1,Promise Made,FALSE,,
COL000070002,L000070,2021-07-31,Early,SMS,2,No Response,FALSE,,
COL000070003,L000070,2022-03-02,Early,SMS,3,Contacted,TRUE,6291.74,2022-03-06
COL000070004,L000070,2023-02-21,Early,SMS,4,Promise Made,FALSE,,
COL000070005,L000070,2023-03-27,Early,SMS,5,Promise Made,TRUE,6291.74,2023-04-09
COL000071001,L000071,2022-02-21,Early,SMS,1,Escalated,FALSE,,
COL000071002,L000071,2022-04-24,Early,SMS,2,No Response,FALSE,,
COL000072001,L000072,2021-02-21,Early,SMS,1,No Response,FALSE,,
COL000072002,L000072,2021-06-25,Legal,Legal Action,2,Escalated,FALSE,,
COL000072003,L000072,2022-05-24,Early,SMS,1,Contacted,FALSE,,
COL000072004,L000072,2023-05-31,Legal,Legal Action,2,Contacted,FALSE,,
COL000073001,L000073,2021-08-24,Early,SMS,1,Escalated,FALSE,,
COL000073002,L000073,2022-02-01,Early,SMS,2,Promise Made,TRUE,3089.33,2022-02-09
COL000074001,L000074,2021-09-26,Legal,Legal Action,1,No Response,FALSE,,
COL000075001,L000075,2022-07-02,Early,SMS,1,No Response,FALSE,,
COL000075002,L000075,2022-10-20,Early,SMS,2,No Response,FALSE,,
COL000077001,L000077,2021-04-20,Early,SMS,1,No Response,TRUE,4151.76,2021-05-11
COL000077002,L000077,2022-01-26,Legal,Legal Action,2,Promise Made,FALSE,,
COL000078001,L000078,2022-03-28,Early,SMS,1,Contacted,FALSE,,
COL000078002,L000078,2023-12-02,Early,SMS,2,Promise Made,FALSE,,
COL000079001,L000079,2021-07-03,Early,SMS,1,Contacted,FALSE,,
COL000079002,L000079,2022-05-20,Early,SMS,2,No Response,FALSE,,
COL000079003,L000079,2023-02-25,Early,SMS,3,Promise Made,FALSE,,
COL000080001,L000080,2021-02-21,Legal,Legal Action,1,Promise Made,FALSE,,
COL000082001,L000082,2021-06-24,Early,SMS,1,No Response,FALSE,,
COL000082002,L000082,2022-03-25,Early,SMS,2,No Response,FALSE,,
COL000082003,L000082,2022-04-27,Early,SMS,3,Promise Made,FALSE,,
COL000083001,L000083,2021-03-23,Early,SMS,1,No Response,FALSE,,
COL000083002,L000083,2021-04-30,Mid,Phone Call,2,Promise Made,TRUE,2673.42,2021-05-08
COL000083003,L000083,2021-06-02,Early,SMS,3,Escalated,TRUE,2673.42,2021-06-06
COL000083004,L000083,2021-06-21,Early,SMS,4,Contacted,TRUE,2673.42,2021-07-10
COL000083005,L000083,2021-08-30,Legal,Legal Action,5,No Response,FALSE,,
COL000084001,L000084,2021-08-20,Early,SMS,1,No Response,FALSE,,
COL000084002,L000084,2021-10-20,Early,SMS,2,Escalated,FALSE,,
COL000084003,L000084,2022-02-23,Early,SMS,3,Promise Made,TRUE,2188.29,2022-03-11
COL000085001,L000085,2023-03-26,Early,SMS,1,Escalated,TRUE,2127.3,2023-04-04
COL000085002,L000085,2023-10-02,Early,SMS,2,Escalated,TRUE,2127.3,2023-10-05
COL000087001,L000087,2021-10-22,Legal,Legal Action,1,Promise Made,FALSE,,
COL000087002,L000087,2022-03-21,Early,SMS,2,Escalated,FALSE,,
COL000087003,L000087,2024-04-27,Early,SMS,3,Promise Made,FALSE,,
COL000088001,L000088,2021-06-30,Early,SMS,1,Promise Made,FALSE,,
COL000088002,L000088,2022-08-28,Early,SMS,2,Promise Made,FALSE,,
COL000088003,L000088,2022-09-23,Early,SMS,3,Contacted,TRUE,4478.98,2022-10-12
COL000088004,L000088,2023-03-25,Early,SMS,4,Escalated,FALSE,,
COL000088005,L000088,2023-06-03,Early,SMS,5,No Response,FALSE,,
COL000088006,L000088,2023-11-27,Early,SMS,6,Contacted,TRUE,4478.98,2023-12-07
COL000088007,L000088,2024-03-26,Early,SMS,7,No Response,FALSE,,
COL000088008,L000088,2024-06-28,Early,SMS,8,Escalated,FALSE,,
COL000088009,L000088,2024-10-29,Early,SMS,9,No Response,TRUE,4478.98,2024-11-12
COL000090001,L000090,2023-08-03,Early,SMS,1,Contacted,FALSE,,
COL000091001,L000091,2021-06-26,Early,SMS,1,Contacted,FALSE,,
COL000091002,L000091,2021-10-28,Legal,Legal Action,2,Contacted,FALSE,,
COL000091003,L000091,2022-06-21,Early,SMS,3,No Response,TRUE,4750.75,2022-07-10
COL000092001,L000092,2021-04-02,Mid,Phone Call,1,Contacted,TRUE,6516.91,2021-04-04
COL000092002,L000092,2021-05-30,Legal,Legal Action,2,Escalated,FALSE,,
COL000093001,L000093,2021-04-26,Legal,Legal Action,1,No Response,FALSE,,
COL000093002,L000093,2022-02-26,Early,SMS,2,Contacted,FALSE,,
COL000093003,L000093,2022-07-31,Early,SMS,3,Promise Made,FALSE,,
COL000094001,L000094,2021-02-27,Early,SMS,1,Escalated,FALSE,,
COL000094002,L000094,2021-04-28,Legal,Legal Action,2,Escalated,TRUE,1235.56,2021-05-07
COL000094003,L000094,2021-05-30,Early,SMS,1,Escalated,FALSE,,
COL000094004,L000094,2021-07-30,Early,SMS,2,No Response,FALSE,,
COL000094005,L000094,2021-12-25,Early,SMS,3,Promise Made,FALSE,,
COL000094006,L000094,2022-12-02,Legal,Legal Action,4,Escalated,FALSE,,
COL000094007,L000094,2023-11-03,Early,SMS,5,Promise Made,FALSE,,
COL000094008,L000094,2023-11-26,Early,SMS,6,Contacted,TRUE,635.51,2023-12-08
COL000095001,L000095,2021-06-03,Early,SMS,1,Escalated,FALSE,,
COL000095002,L000095,2021-06-28,Mid,Phone Call,2,No Response,FALSE,,
COL000095003,L000095,2021-07-23,Early,SMS,3,Contacted,FALSE,,
COL000095004,L000095,2021-09-21,Mid,Phone Call,4,Escalated,FALSE,,
COL000095005,L000095,2021-10-26,Early,SMS,5,Contacted,FALSE,,
COL000095006,L000095,2021-12-01,Early,SMS,6,No Response,FALSE,,
COL000095007,L000095,2021-12-29,Legal,Legal Action,7,No Response,TRUE,2798.73,2022-01-07
COL000096001,L000096,2021-06-27,Early,SMS,1,Contacted,FALSE,,
COL000096002,L000096,2023-05-30,Legal,Legal Action,2,Promise Made,TRUE,6562.36,2023-06-10
COL000096003,L000096,2024-07-20,Legal,Legal Action,1,Escalated,FALSE,,
COL000096004,L000096,2024-11-24,Legal,Legal Action,2,Promise Made,TRUE,2253.62,2024-12-10
COL000097001,L000097,2021-07-31,Early,SMS,1,Contacted,FALSE,,
COL000097002,L000097,2021-12-30,Early,SMS,2,Promise Made,FALSE,,
COL000097003,L000097,2022-06-26,Early,SMS,3,Escalated,FALSE,,
COL000098001,L000098,2022-07-20,Early,SMS,1,Escalated,TRUE,5061.58,2022-08-04
COL000098002,L000098,2023-04-03,Early,SMS,2,Promise Made,TRUE,5061.58,2023-04-08
COL000099001,L000099,2021-03-27,Early,SMS,1,Promise Made,FALSE,,
COL000099002,L000099,2021-04-30,Legal,Legal Action,2,No Response,FALSE,,
COL000099003,L000099,2021-06-01,Early,SMS,1,No Response,FALSE,,
COL000099004,L000099,2021-09-02,Early,SMS,2,Escalated,FALSE,,
COL000099005,L000099,2022-09-22,Early,SMS,3,Promise Made,FALSE,,
COL000099006,L000099,2023-06-28,Early,SMS,4,Escalated,FALSE,,
COL000099007,L000099,2023-11-24,Early,SMS,5,Promise Made,FALSE,,
COL000099008,L000099,2023-12-24,Early,SMS,6,Escalated,TRUE,1368.29,2024-01-11
COL000100001,L000100,2021-03-03,Early,SMS,1,Escalated,FALSE,,
COL000100002,L000100,2021-04-04,Legal,Legal Action,2,Escalated,FALSE,,
COL000100003,L000100,2021-12-24,Early,SMS,3,Promise Made,FALSE,,
COL000100004,L000100,2022-04-26,Early,SMS,4,Escalated,TRUE,7110.04,2022-05-15
COL000100005,L000100,2022-08-03,Early,SMS,5,Contacted,FALSE,,
