loan_id,application_id,customer_id,product_type,funded_amount,term_months,interest_rate,issue_date,maturity_date,purpose,risk_grade,original_dti,original_term_months,original_installment,secured,collateral_value,collateral_type,current_status,default_flag,default_date,write_off_flag,write_off_date,write_off_amount,restructuring_flag,restructuring_date,restructuring_count,settlement_flag,settlement_date,settlement_amount,settlement_discount,current_term_months,current_installment,total_fee_income
L000016,APP0017968,C007213,Personal Loan,52600,37,0.3002,2021-01-08,2024-02-08,Medical,C,0.14,37,2196.15,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,37,2196.15,131.76
L000017,APP0020823,C005745,Auto Loan,276900,49,0.2327,2021-01-08,2025-02-08,New Vehicle Purchase,A,0.21,49,8805.43,TRUE,346125,Vehicle,Settled,FALSE,,FALSE,,,FALSE,,0,TRUE,2022-05-23,189407.14,0.13,49,8805.43,352.22
L000018,APP0035619,C010749,Personal Loan,78800,46,0.304,2021-01-08,2024-11-08,Home Improvement,B,0.08,46,2920.13,FALSE,,,Settled,FALSE,,FALSE,,,FALSE,,0,TRUE,2023-01-23,37756.64,0.25,46,2920.13,350.4
L000019,APP0038226,C006102,Personal Loan,133800,14,0.2689,2021-01-08,2022-03-08,Education,A,0.25,14,11240.34,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,14,11240.34,0
L000020,APP0043617,C001732,Small Business Loan,137200,26,0.248,2021-01-08,2023-03-08,Equipment Purchase,A,0.33,26,6874.08,TRUE,154157.3,Business Asset / Property,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,26,6874.08,824.88
L000021,APP0049559,C005768,Personal Loan,85600,30,0.2574,2021-01-08,2023-07-08,Travel,A,0.2,30,3898.66,FALSE,,,Written Off,TRUE,2021-12-13,TRUE,2022-01-07,64213.94,FALSE,,0,FALSE,,,,30,3898.66,233.91
L000022,APP0058852,C009136,Consumer Loan,19600,31,0.2768,2021-01-08,2023-08-08,General Purpose,B,0.02,31,891.99,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,31,891.99,35.68
L000023,APP0070037,C001807,Consumer Loan,74900,30,0.3,2021-01-08,2023-07-08,Electronics,A,0.18,30,3578.55,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,30,3578.55,143.14
L000024,APP0072878,C002353,Personal Loan,133900,28,0.2767,2021-01-08,2023-05-08,General Purpose,C,0.36,28,6543.95,FALSE,,,Settled,FALSE,,FALSE,,,FALSE,,0,TRUE,2021-12-23,68411.6,0.28,28,6543.95,523.52
L000025,APP0074825,C007907,Personal Loan,63200,45,0.269,2021-01-08,2024-10-08,Medical,B,0.46,45,2244.36,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,45,2244.36,89.78
L000026,APP0002175,C004154,Personal Loan,217600,17,0.2588,2021-01-09,2022-06-09,Education,B,0.45,17,15425.54,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,17,15425.54,308.51
L000027,APP0002302,C009422,Auto Loan,249000,54,0.2424,2021-01-09,2025-07-09,New Vehicle Purchase,B,0.41,54,7616.52,TRUE,279775.28,Vehicle,Settled,FALSE,,FALSE,,,FALSE,,0,TRUE,2021-04-24,210909.91,0.13,54,7616.52,152.33
L000028,APP0005777,C010676,Consumer Loan,64500,31,0.3161,2021-01-09,2023-08-09,Furniture,B,0.28,31,3070.35,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,31,3070.35,184.23
L000029,APP0007452,C010843,Personal Loan,111100,27,0.2694,2021-01-09,2023-04-09,Education,B,0.26,27,5531.78,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,27,5531.78,442.56
L000030,APP0009495,C008973,Consumer Loan,56300,23,0.2808,2021-01-09,2022-12-09,General Purpose,C,0.15,23,3193.2,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,23,3193.2,127.72
L000031,APP0015884,C006545,Personal Loan,145500,47,0.2549,2021-01-09,2024-12-09,Travel,A,0.07,47,4924.23,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,47,4924.23,590.88
L000032,APP0035145,C001651,Personal Loan,38900,46,0.2978,2021-01-09,2024-11-09,Medical,C,0.49,46,1427.64,FALSE,,,Written Off,TRUE,2021-09-14,TRUE,2021-10-09,36291.8,FALSE,,0,FALSE,,,,46,1427.64,28.55
L000033,APP0040607,C006535,Personal Loan,152700,27,0.3011,2021-01-09,2023-04-09,General Purpose,A,0.1,27,7854.03,FALSE,,,Written Off,TRUE,2021-12-14,TRUE,2022-01-08,110315.32,FALSE,,0,FALSE,,,,27,7854.03,628.32
L000034,APP0055983,C008888,Personal Loan,184400,30,0.3093,2021-01-09,2023-07-09,Education,A,0.35,30,8901.49,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,30,8901.49,356.06
L000035,APP0058883,C009757,Personal Loan,36100,12,0.2636,2021-01-09,2022-01-09,Medical,A,0.35,12,3454.96,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,12,3454.96,0
L000036,APP0003281,C005571,Consumer Loan,38100,12,0.3142,2021-01-10,2022-01-10,Electronics,B,0.44,12,3740.92,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,12,3740.92,149.64
L000037,APP0006659,C010427,Personal Loan,157500,45,0.2947,2021-01-10,2024-10-10,Medical,C,0.36,45,5821.88,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,45,5821.88,232.88
L000038,APP0009841,C002959,Personal Loan,287300,45,0.2935,2021-01-10,2024-10-10,Home Improvement,B,0.3,45,10600.18,FALSE,,,Written Off,TRUE,2023-06-15,TRUE,2023-07-10,176282.23,TRUE,2021-03-20,1,FALSE,,,,51,9870.82,197.42
L000039,APP0025951,C000499,Personal Loan,50500,37,0.2953,2021-01-10,2024-02-10,Medical,C,0.48,37,2094.87,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,37,2094.87,41.9
L000040,APP0026881,C001499,Consumer Loan,29000,27,0.2959,2021-01-10,2023-04-10,Furniture,B,0.23,27,1483.72,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,27,1483.72,59.34
L000041,APP0040861,C002295,Consumer Loan,10600,12,0.315,2021-01-10,2022-01-10,Appliances,A,0.08,12,1041.2,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,12,1041.2,0
L000042,APP0041104,C002559,Personal Loan,74300,21,0.2677,2021-01-10,2022-10-10,Education,B,0.39,21,4469.94,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,21,4469.94,178.8
L000043,APP0047792,C004864,Personal Loan,163700,32,0.3026,2021-01-10,2023-09-10,Education,B,0.25,32,7515.12,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,TRUE,2021-09-20,1,FALSE,,,,42,5919.64,387.08
L000044,APP0049380,C009777,Consumer Loan,95200,11,0.2654,2021-01-10,2021-12-10,Furniture,A,0.49,11,9844.84,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,11,9844.84,393.8
L000045,APP0054696,C009150,Consumer Loan,138100,18,0.3249,2021-01-10,2022-07-10,Furniture,D,0.46,18,9794.41,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,18,9794.41,587.67
L000046,APP0003686,C000300,Consumer Loan,125700,33,0.3011,2021-01-11,2023-10-11,Furniture,A,0.08,33,5646.28,FALSE,,,Written Off,TRUE,2022-10-16,TRUE,2022-11-10,63532.47,FALSE,,0,FALSE,,,,33,5646.28,225.86
L000047,APP0007379,C000300,Consumer Loan,75500,17,0.2707,2021-01-11,2022-06-11,General Purpose,A,0.16,17,5396.36,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,17,5396.36,215.86
L000048,APP0011366,C000699,Personal Loan,151900,44,0.2497,2021-01-11,2024-09-11,General Purpose,A,0.11,44,5303.94,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,44,5303.94,636.48
L000049,APP0011808,C002355,Consumer Loan,52400,31,0.2764,2021-01-11,2023-08-11,Electronics,A,0.07,31,2383.61,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,31,2383.61,47.67
L000050,APP0014213,C007460,Consumer Loan,59200,20,0.3047,2021-01-11,2022-09-11,Furniture,A,0.07,20,3811.57,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,TRUE,2021-05-21,1,FALSE,,,,27,2874.2,306.15
L000051,APP0014261,C002972,Personal Loan,65200,34,0.2996,2021-01-11,2023-11-11,General Purpose,B,0.12,34,2867.83,FALSE,,,Written Off,TRUE,2022-09-16,TRUE,2022-10-11,36403.01,FALSE,,0,FALSE,,,,34,2867.83,0
L000052,APP0015647,C006601,Personal Loan,81100,37,0.2793,2021-01-11,2024-02-11,Home Improvement,A,0.34,37,3293.42,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,TRUE,2022-12-21,1,FALSE,,,,45,2283.35,111.54
L000053,APP0023364,C010934,Consumer Loan,142200,32,0.2993,2021-01-11,2023-09-11,Appliances,B,0.4,32,6502.92,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,32,6502.92,0
L000054,APP0023838,C010569,Personal Loan,91300,45,0.2793,2021-01-11,2024-10-11,Education,A,0.27,45,3295.07,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,TRUE,2022-01-21,1,FALSE,,,,52,2913.76,679.18
L000055,APP0027048,C009918,Personal Loan,107100,37,0.2814,2021-01-11,2024-02-11,Home Improvement,B,0.21,37,4361.48,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,37,4361.48,348.92
L000056,APP0028088,C002155,Consumer Loan,24700,9,0.2787,2021-01-11,2021-10-11,Appliances,B,0.43,9,3072.89,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,9,3072.89,0
L000057,APP0032604,C000268,Auto Loan,563500,54,0.2328,2021-01-11,2025-07-11,Used Vehicle Purchase,B,0.49,54,16930.71,TRUE,731818.18,Vehicle,Cured,FALSE,,FALSE,,,TRUE,2024-01-21,1,FALSE,,,,71,10111.56,5685.84
L000058,APP0043078,C010366,Personal Loan,32300,42,0.2871,2021-01-11,2024-07-11,Education,B,0.21,42,1227.52,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,TRUE,2022-10-21,1,FALSE,,,,50,968.06,58.08
L000059,APP0051210,C001579,Personal Loan,110300,41,0.2782,2021-01-11,2024-06-11,Medical,B,0.49,41,4197.22,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,41,4197.22,167.88
L000060,APP0061419,C001878,Consumer Loan,123200,23,0.2822,2021-01-11,2022-12-11,Appliances,B,0.3,23,6996.36,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,23,6996.36,139.93
L000061,APP0062155,C000733,Personal Loan,177000,21,0.2903,2021-01-11,2022-10-11,Travel,B,0.17,21,10849.45,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,21,10849.45,216.99
L000062,APP0064036,C009006,Personal Loan,21500,12,0.2901,2021-01-11,2022-01-11,Home Improvement,B,0.46,12,2085.52,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,TRUE,2021-09-21,1,FALSE,,,,23,631.08,83.42
L000063,APP0077237,C007887,Personal Loan,21900,23,0.2833,2021-01-11,2022-12-11,Medical,C,0.39,23,1244.89,FALSE,,,Settled,FALSE,,FALSE,,,FALSE,,0,TRUE,2021-08-26,15105.46,0.13,23,1244.89,24.9
L000064,APP0004815,C001018,Consumer Loan,106400,28,0.2851,2021-01-12,2023-05-12,Furniture,B,0.17,28,5246.42,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,28,5246.42,104.93
L000065,APP0030872,C004188,Consumer Loan,122500,27,0.3195,2021-01-12,2023-04-12,Electronics,B,0.4,27,6419.19,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,27,6419.19,128.38
L000066,APP0031081,C002168,Personal Loan,129000,22,0.272,2021-01-12,2022-11-12,Education,A,0.19,22,7511.51,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,22,7511.51,150.23
L000067,APP0034956,C008612,Consumer Loan,49300,10,0.3111,2021-01-12,2021-11-12,Electronics,B,0.21,10,5659.91,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,10,5659.91,113.2
L000068,APP0061011,C001926,Personal Loan,21000,32,0.3069,2021-01-12,2023-09-12,Travel,A,0.05,32,968.92,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,32,968.92,58.14
L000069,APP0067203,C009283,Small Business Loan,197000,50,0.2639,2021-01-12,2025-03-12,Working Capital,B,0.4,50,6534.5,TRUE,266216.22,Business Asset / Property,Delinquent,FALSE,,FALSE,,,TRUE,2023-10-22,1,FALSE,,,,60,4547.58,1040.19
L000070,APP0070318,C006711,Consumer Loan,139700,34,0.3189,2021-01-12,2023-11-12,Furniture,C,0.47,34,6291.74,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,34,6291.74,629.15
L000071,APP0072763,C007619,Personal Loan,51200,15,0.3041,2021-01-12,2022-04-12,Home Improvement,C,0.46,15,4145.64,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,15,4145.64,165.82
L000072,APP0076633,C001036,Consumer Loan,53000,25,0.2673,2021-01-12,2023-02-12,Electronics,B,0.24,25,2787.73,FALSE,,,Written Off,TRUE,2023-05-17,TRUE,2023-06-11,23883.8,TRUE,2021-06-22,1,FALSE,,,,43,1751.88,90.79
L000073,APP0006069,C008791,Consumer Loan,49100,21,0.3222,2021-01-13,2022-10-13,Electronics,A,0.06,21,3089.33,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,21,3089.33,123.58
L000074,APP0012362,C002838,Personal Loan,91300,19,0.2514,2021-01-13,2022-08-13,Home Improvement,A,0.13,19,5874.42,FALSE,,,Delinquent,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,19,5874.42,0
L000075,APP0017922,C009531,Consumer Loan,129100,28,0.3145,2021-01-13,2023-05-13,Electronics,B,0.5,28,6565.1,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,28,6565.1,262.6
L000076,APP0034129,C008798,Consumer Loan,22400,16,0.3008,2021-01-13,2022-05-13,Furniture,C,0.15,16,1716.71,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,16,1716.71,0
L000077,APP0037417,C002287,Personal Loan,101300,37,0.2862,2021-01-13,2024-02-13,General Purpose,B,0.42,37,4151.76,FALSE,,,Settled,FALSE,,FALSE,,,FALSE,,0,TRUE,2022-01-28,51960.99,0.35,37,4151.76,83.04
L000078,APP0040662,C006571,Personal Loan,146600,40,0.271,2021-01-13,2024-05-13,Education,B,0.28,40,5604.82,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,40,5604.82,224.2
L000079,APP0055416,C008723,Consumer Loan,17800,29,0.3232,2021-01-13,2023-06-13,Furniture,A,0.02,29,892.22,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,29,892.22,53.52
L000080,APP0057690,C008516,Consumer Loan,50800,21,0.2698,2021-01-13,2022-10-13,Appliances,A,0.5,21,3061.5,FALSE,,,Settled,FALSE,,FALSE,,,FALSE,,0,TRUE,2021-02-28,43668.65,0.14,21,3061.5,0
L000081,APP0061382,C006455,Consumer Loan,15100,8,0.3223,2021-01-13,2021-09-13,Furniture,B,0.11,8,2122.68,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,8,2122.68,0
L000082,APP0062474,C000029,Personal Loan,23600,21,0.291,2021-01-13,2022-10-13,Home Improvement,B,0.31,21,1447.43,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,21,1447.43,86.85
L000083,APP0062614,C007847,Consumer Loan,58700,34,0.3281,2021-01-13,2023-11-13,Electronics,C,0.39,34,2673.42,FALSE,,,Settled,FALSE,,FALSE,,,FALSE,,0,TRUE,2021-08-28,45173.54,0.13,34,2673.42,213.88
L000084,APP0066811,C001922,Consumer Loan,37300,22,0.2807,2021-01-13,2022-11-13,General Purpose,B,0.43,22,2188.29,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,22,2188.29,131.31
L000085,APP0079326,C009878,Personal Loan,57200,46,0.3063,2021-01-13,2024-11-13,Education,C,0.31,46,2127.3,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,46,2127.3,85.1
L000086,APP0004408,C002658,Consumer Loan,70400,9,0.3129,2021-01-14,2021-10-14,General Purpose,B,0.32,9,8877.01,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,9,8877.01,0
L000087,APP0007120,C000156,Small Business Loan,62000,60,0.2606,2021-01-14,2026-01-14,Equipment Purchase,B,0.25,60,1858.51,TRUE,82666.67,Business Asset / Property,Delinquent,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,60,1858.51,74.34
L000088,APP0009746,C007325,Personal Loan,122500,47,0.3027,2021-01-14,2024-12-14,General Purpose,C,0.5,47,4478.98,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,47,4478.98,806.22
L000089,APP0012379,C000536,Personal Loan,23000,7,0.2694,2021-01-14,2021-08-14,Home Improvement,A,0.11,7,3587.32,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,7,3587.32,0
L000090,APP0017317,C002013,Consumer Loan,97100,35,0.3196,2021-01-14,2023-12-14,Furniture,B,0.24,35,4299.64,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,35,4299.64,85.99
L000091,APP0019871,C004772,Personal Loan,95700,27,0.2665,2021-01-14,2023-04-14,Education,B,0.27,27,4750.75,FALSE,,,Delinquent,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,27,4750.75,190.04
L000092,APP0021516,C001109,Consumer Loan,122700,26,0.3066,2021-01-14,2023-03-14,Furniture,B,0.37,26,6516.91,FALSE,,,Settled,FALSE,,FALSE,,,FALSE,,0,TRUE,2021-05-29,87563.21,0.22,26,6516.91,130.34
L000093,APP0032427,C007203,Consumer Loan,120000,26,0.2776,2021-01-14,2023-03-14,General Purpose,B,0.47,26,6193.32,FALSE,,,Delinquent,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,26,6193.32,247.74
L000094,APP0040361,C000665,Consumer Loan,16100,16,0.3029,2021-01-14,2022-05-14,Appliances,B,0.07,16,1235.56,FALSE,,,Delinquent,FALSE,,FALSE,,,TRUE,2021-04-24,1,FALSE,,,,34,635.37,88.26
L000095,APP0057262,C009327,Consumer Loan,28700,12,0.3006,2021-01-14,2022-01-14,Appliances,C,0.43,12,2798.73,FALSE,,,Written Off,TRUE,2021-12-19,TRUE,2022-01-13,5529.04,FALSE,,0,FALSE,,,,12,2798.73,335.82
L000096,APP0058698,C000585,Consumer Loan,146100,34,0.3167,2021-01-14,2023-11-14,Furniture,B,0.41,34,6562.36,FALSE,,,Written Off,TRUE,2024-11-19,TRUE,2024-12-14,8672.75,TRUE,2023-05-24,1,FALSE,,,,49,2253.62,131.25
L000097,APP0063197,C009181,Personal Loan,206400,25,0.2681,2021-01-14,2023-02-14,Medical,B,0.41,25,10864.75,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,25,10864.75,651.9
L000098,APP0065833,C010085,Personal Loan,125600,38,0.286,2021-01-14,2024-03-14,Home Improvement,C,0.46,38,5061.58,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,38,5061.58,202.46
L000099,APP0072393,C008046,Consumer Loan,35400,24,0.2916,2021-01-14,2023-01-14,Electronics,B,0.28,24,1964.04,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,TRUE,2021-04-24,1,FALSE,,,,38,1368.29,203.5
L000100,APP0001552,C002253,Consumer Loan,129500,24,0.2803,2021-01-15,2023-01-15,Electronics,A,0.21,24,7110.04,FALSE,,,Delinquent,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,24,7110.04,711
L000101,APP0001726,C005895,Personal Loan,274500,20,0.2775,2021-01-15,2022-09-15,General Purpose,B,0.45,20,17298.03,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,20,17298.03,3459.6
L000102,APP0005790,C003935,Personal Loan,51800,22,0.291,2021-01-15,2022-11-15,Travel,B,0.23,22,3065.98,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,22,3065.98,122.64
L000103,APP0005864,C010945,Personal Loan,225700,20,0.2682,2021-01-15,2022-09-15,General Purpose,B,0.38,20,14118.07,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,TRUE,2022-08-25,1,FALSE,,,,37,940.27,1430.61
L000104,APP0008053,C000412,Consumer Loan,123100,34,0.282,2021-01-15,2023-11-15,Appliances,B,0.28,34,5297.83,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,34,5297.83,105.96
L000105,APP0009406,C008250,Consumer Loan,45800,12,0.2642,2021-01-15,2022-01-15,Appliances,A,0.11,12,4384.65,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,12,4384.65,263.07
L000106,APP0018577,C009568,Consumer Loan,18000,6,0.3154,2021-01-15,2021-07-15,Furniture,A,0.1,6,3281.94,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,6,3281.94,65.64
L000107,APP0026954,C008950,Auto Loan,471200,55,0.2525,2021-01-15,2025-08-15,Used Vehicle Purchase,B,0.49,55,14540.73,TRUE,554352.94,Vehicle,Written Off,TRUE,2021-02-20,TRUE,2021-03-17,481114.83,FALSE,,0,FALSE,,,,55,14540.73,0
L000108,APP0070670,C000658,Personal Loan,55700,47,0.2895,2021-01-15,2024-12-15,Education,B,0.23,47,1994.14,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,47,1994.14,199.4
L000109,APP0002728,C003050,Personal Loan,45600,44,0.2644,2021-01-16,2024-09-16,Medical,A,0.04,44,1629.18,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,44,1629.18,32.58
