collateral_id,loan_id,collateral_type,value_at_origination,valuation_date,current_estimated_value,collateral_status,repossession_date,liquidation_date,gross_sale_proceeds,liquidation_costs,net_recovery
COLL000907,L000907,Business Asset / Property,663194.44,2021-03-28,663194.44,Pledged,,,,,
COLL000908,L000908,Business Asset / Property,202962.96,2025-08-28,202962.96,Pledged,,,,,
COLL000920,L000920,Vehicle,832597.4,2021-03-30,832597.4,Pledged,,,,,
COLL000923,L000923,Vehicle,256075.95,2021-03-30,256075.95,Pledged,,,,,
COLL000940,L000940,Business Asset / Property,646704.55,2021-04-01,646704.55,Pledged,,,,,
COLL000943,L000943,Vehicle,236923.08,2021-04-01,236923.08,Pledged,,,,,
COLL000945,L000945,Vehicle,230588.24,2021-04-01,230588.24,Pledged,,,,,
COLL000971,L000971,Business Asset / Property,296395.35,2021-04-04,296395.35,Pledged,,,,,
COLL000984,L000984,Business Asset / Property,110985.92,2021-04-05,110985.92,Pledged,,,,,
COLL000993,L000993,Vehicle,220972.22,2021-04-06,220972.22,Pledged,,,,,
COLL000998,L000998,Business Asset / Property,233287.67,2021-04-06,233287.67,Pledged,,,,,
COLL000999,L000999,Vehicle,262207.79,2021-04-06,262207.79,Pledged,,,,,
COLL001002,L001002,Vehicle,245679.01,2021-04-06,245679.01,Pledged,,,,,
COLL001005,L001005,Business Asset / Property,112911.39,2021-04-06,112911.39,Pledged,,,,,
COLL001032,L001032,Business Asset / Property,245066.67,2021-04-09,245066.67,Pledged,,,,,
COLL001059,L001059,Vehicle,300281.69,2021-04-12,300281.69,Pledged,,,,,
COLL001060,L001060,Vehicle,321235.96,2021-04-12,321235.96,Pledged,,,,,
COLL001070,L001070,Vehicle,494428.57,2021-04-13,494428.57,Pledged,,,,,
COLL001077,L001077,Business Asset / Property,202682.93,2021-04-14,202682.93,Pledged,,,,,
COLL001112,L001112,Vehicle,431724.14,2023-09-17,431724.14,Released,,,,,
COLL001113,L001113,Business Asset / Property,58202.25,2021-04-17,58202.25,Pledged,,,,,
COLL001115,L001115,Vehicle,698082.19,2021-04-17,698082.19,Released,,,,,
COLL001118,L001118,Vehicle,474512.2,2021-04-18,474512.2,Pledged,,,,,
COLL001125,L001125,Business Asset / Property,272716.05,2021-04-19,272716.05,Pledged,,,,,
COLL001131,L001131,Business Asset / Property,384810.13,2021-04-20,384810.13,Pledged,,,,,
COLL001152,L001152,Business Asset / Property,170555.56,2021-04-23,170555.56,Pledged,,,,,
COLL001159,L001159,Business Asset / Property,183333.33,2021-05-24,183333.33,Released,,,,,
COLL001164,L001164,Vehicle,233055.56,2021-04-25,198097.23,Liquidated,2021-12-30,2022-01-24,171324.6,9454.83,161869.77
COLL001175,L001175,Vehicle,328764.04,2021-05-27,328764.04,Pledged,,,,,
COLL001191,L001191,Business Asset / Property,89111.11,2021-04-29,89111.11,Pledged,,,,,
COLL001197,L001197,Business Asset / Property,105696.2,2021-04-29,105696.2,Released,,,,,
COLL001208,L001208,Business Asset / Property,189518.07,2021-04-30,189518.07,Pledged,,,,,
COLL001267,L001267,Vehicle,492535.21,2021-05-06,492535.21,Pledged,,,,,
COLL001281,L001281,Business Asset / Property,219027.78,2021-05-07,186173.61,Liquidated,2021-07-24,2021-08-22,133945.43,8881.66,125063.77
COLL001292,L001292,Vehicle,378313.25,2021-05-07,378313.25,Pledged,,,,,
COLL001296,L001296,Business Asset / Property,111875,2021-05-08,111875,Released,,,,,
COLL001307,L001307,Vehicle,274285.71,2024-02-09,274285.71,Pledged,,,,,
COLL001317,L001317,Business Asset / Property,279718.31,2021-05-10,237760.56,Liquidated,2023-06-14,2023-06-29,231324.64,7701.27,223623.37
COLL001319,L001319,Vehicle,346533.33,2021-05-10,346533.33,Pledged,,,,,
COLL001332,L001332,Business Asset / Property,616190.48,2021-05-12,616190.48,Pledged,,,,,
COLL001355,L001355,Vehicle,226103.9,2021-05-14,226103.9,Pledged,,,,,
COLL001362,L001362,Vehicle,197848.1,2022-12-15,197848.1,Released,,,,,
COLL001364,L001364,Business Asset / Property,394861.11,2021-05-15,394861.11,Pledged,,,,,
COLL001400,L001400,Business Asset / Property,1639014.08,2021-05-19,1639014.08,Pledged,,,,,
COLL001405,L001405,Business Asset / Property,78311.69,2021-05-19,78311.69,Pledged,,,,,
COLL001425,L001425,Vehicle,282285.71,2021-06-22,282285.71,Pledged,,,,,
COLL001429,L001429,Vehicle,270277.78,2021-05-22,229736.11,Liquidated,2021-08-09,2021-09-04,162667.66,9232.43,153435.23
COLL001435,L001435,Vehicle,437654.32,2021-05-23,437654.32,Pledged,,,,,
COLL001450,L001450,Business Asset / Property,618375,2023-07-24,618375,Pledged,,,,,
COLL001466,L001466,Vehicle,577323.94,2021-05-26,577323.94,Pledged,,,,,
COLL001479,L001479,Vehicle,174111.11,2021-11-26,174111.11,Pledged,,,,,
COLL001518,L001518,Business Asset / Property,735243.9,2021-05-31,624957.32,Liquidated,2023-11-18,2023-12-04,513133.92,17648.04,495485.88
COLL001526,L001526,Business Asset / Property,66067.42,2021-06-01,66067.42,Pledged,,,,,
COLL001565,L001565,Vehicle,270256.41,2021-06-04,270256.41,Pledged,,,,,
COLL001568,L001568,Vehicle,585675.68,2021-06-04,585675.68,Pledged,,,,,
COLL001597,L001597,Vehicle,673218.39,2021-06-06,673218.39,Pledged,,,,,
COLL001607,L001607,Vehicle,240833.33,2021-06-08,240833.33,Pledged,,,,,
COLL001608,L001608,Vehicle,213150.68,2022-11-08,213150.68,Pledged,,,,,
COLL001626,L001626,Business Asset / Property,92894.74,2021-06-09,92894.74,Pledged,,,,,
COLL001640,L001640,Vehicle,270365.85,2021-06-11,270365.85,Pledged,,,,,
COLL001683,L001683,Vehicle,277894.74,2021-06-15,277894.74,Pledged,,,,,
COLL001696,L001696,Business Asset / Property,465833.33,2021-06-17,465833.33,Pledged,,,,,
COLL001703,L001703,Business Asset / Property,675119.05,2021-06-18,675119.05,Pledged,,,,,
COLL001705,L001705,Business Asset / Property,186410.26,2021-06-18,186410.26,Pledged,,,,,
COLL001716,L001716,Vehicle,400348.84,2021-06-19,340296.51,Liquidated,2021-09-04,2021-09-23,239636.29,18462.04,221174.25
COLL001730,L001730,Business Asset / Property,345270.27,2021-06-21,345270.27,Released,,,,,
COLL001775,L001775,Vehicle,275657.89,2021-06-26,275657.89,Pledged,,,,,
COLL001781,L001781,Vehicle,295714.29,2021-06-26,295714.29,Pledged,,,,,
COLL001811,L001811,Vehicle,414415.58,2021-06-29,414415.58,Pledged,,,,,
COLL001830,L001830,Vehicle,299733.33,2021-07-02,299733.33,Pledged,,,,,
COLL001836,L001836,Business Asset / Property,649027.78,2021-07-03,649027.78,Pledged,,,,,
COLL001876,L001876,Vehicle,199125,2021-07-09,199125,Pledged,,,,,
COLL001886,L001886,Vehicle,686144.58,2021-07-10,686144.58,Pledged,,,,,
COLL001888,L001888,Business Asset / Property,441558.44,2021-07-10,441558.44,Pledged,,,,,
COLL001889,L001889,Vehicle,347974.68,2021-07-10,347974.68,Released,,,,,
COLL001907,L001907,Vehicle,367671.23,2021-07-13,367671.23,Pledged,,,,,
COLL001913,L001913,Business Asset / Property,109268.29,2021-07-14,109268.29,Pledged,,,,,
COLL001933,L001933,Vehicle,269753.09,2022-03-16,269753.09,Pledged,,,,,
COLL001935,L001935,Business Asset / Property,843506.49,2021-07-16,843506.49,Released,,,,,
COLL001936,L001936,Business Asset / Property,248295.45,2021-07-16,248295.45,Pledged,,,,,
COLL001947,L001947,Business Asset / Property,102045.45,2021-08-17,102045.45,Pledged,,,,,
COLL001954,L001954,Vehicle,258169.01,2021-07-18,258169.01,Pledged,,,,,
COLL001965,L001965,Vehicle,915657.89,2021-07-19,778309.21,Liquidated,2022-06-05,2022-07-09,660362.11,31086.14,629275.97
COLL001984,L001984,Vehicle,244285.71,2021-07-21,207642.85,Liquidated,2025-07-04,2025-07-24,143685.61,8138.24,135547.37
COLL001991,L001991,Business Asset / Property,690232.56,2021-07-22,690232.56,Pledged,,,,,
COLL001998,L001998,Vehicle,449500,2022-04-22,382075,Liquidated,2023-02-02,2023-02-26,360660.1,14686.52,345973.58
COLL002029,L002029,Vehicle,1175600,2021-07-25,1175600,Pledged,,,,,
COLL002034,L002034,Vehicle,225810.81,2021-07-26,225810.81,Pledged,,,,,
COLL002038,L002038,Vehicle,414375,2021-07-26,414375,Pledged,,,,,
COLL002069,L002069,Business Asset / Property,213417.72,2021-07-29,213417.72,Pledged,,,,,
COLL002097,L002097,Vehicle,447073.17,2021-08-01,380012.19,Liquidated,2022-05-07,2022-05-23,265682.11,15849.09,249833.02
COLL002145,L002145,Vehicle,1345955.06,2021-08-08,1345955.06,Pledged,,,,,
COLL002150,L002150,Vehicle,231882.35,2021-08-08,231882.35,Released,,,,,
COLL002157,L002157,Business Asset / Property,317356.32,2021-08-09,317356.32,Pledged,,,,,
COLL002173,L002173,Business Asset / Property,117671.23,2021-08-10,117671.23,Released,,,,,
COLL002212,L002212,Business Asset / Property,129493.67,2021-08-14,129493.67,Pledged,,,,,
COLL002214,L002214,Vehicle,306923.08,2021-08-15,306923.08,Pledged,,,,,
COLL002217,L002217,Business Asset / Property,420704.23,2021-08-15,357598.6,Liquidated,2025-04-24,2025-06-04,357344.17,24820.78,332523.39
COLL002218,L002218,Business Asset / Property,147179.49,2021-08-15,147179.49,Pledged,,,,,
COLL002238,L002238,Business Asset / Property,337368.42,2021-08-18,337368.42,Pledged,,,,,
COLL002244,L002244,Business Asset / Property,147183.1,2021-08-19,147183.1,Released,,,,,
COLL002262,L002262,Vehicle,538194.44,2021-10-23,538194.44,Pledged,,,,,
COLL002275,L002275,Vehicle,444683.54,2021-08-24,377981.01,Liquidated,2023-06-11,2023-07-17,367499.53,28125.25,339374.28
COLL002305,L002305,Business Asset / Property,341710.53,2021-08-28,341710.53,Pledged,,,,,
COLL002311,L002311,Business Asset / Property,253947.37,2021-08-29,215855.26,Liquidated,2022-12-08,2023-01-20,197914.96,10293.31,187621.65
COLL002330,L002330,Business Asset / Property,245769.23,2021-09-01,245769.23,Pledged,,,,,
COLL002355,L002355,Business Asset / Property,83690.48,2021-09-05,83690.48,Released,,,,,
COLL002359,L002359,Business Asset / Property,57752.81,2021-09-05,57752.81,Pledged,,,,,
COLL002399,L002399,Business Asset / Property,128426.97,2021-09-09,128426.97,Pledged,,,,,
COLL002415,L002415,Business Asset / Property,100555.56,2021-09-11,100555.56,Pledged,,,,,
COLL002441,L002441,Vehicle,378767.12,2021-09-13,378767.12,Pledged,,,,,
COLL002443,L002443,Vehicle,199350.65,2021-09-13,199350.65,Pledged,,,,,
COLL002445,L002445,Business Asset / Property,81095.89,2021-09-13,68931.51,Liquidated,2023-01-27,2023-02-12,64290.98,2367.18,61923.8
COLL002462,L002462,Vehicle,712467.53,2025-09-14,712467.53,Pledged,,,,,
COLL002476,L002476,Business Asset / Property,114675.32,2021-09-16,114675.32,Pledged,,,,,
COLL002497,L002497,Vehicle,587307.69,2021-09-18,587307.69,Pledged,,,,,
COLL002500,L002500,Vehicle,603108.11,2021-09-18,603108.11,Pledged,,,,,
COLL002501,L002501,Business Asset / Property,154109.59,2025-05-18,154109.59,Pledged,,,,,
COLL002524,L002524,Vehicle,212439.02,2024-01-19,180573.17,Liquidated,2024-10-07,2024-11-17,128292.31,7810.69,120481.62
COLL002547,L002547,Vehicle,331590.91,2021-09-22,331590.91,Pledged,,,,,
COLL002590,L002590,Vehicle,258000,2021-12-26,258000,Pledged,,,,,
COLL002611,L002611,Business Asset / Property,355135.14,2021-09-30,355135.14,Pledged,,,,,
COLL002638,L002638,Business Asset / Property,413793.1,2024-10-02,413793.1,Pledged,,,,,
COLL002653,L002653,Business Asset / Property,132528.74,2021-10-03,132528.74,Pledged,,,,,
COLL002655,L002655,Vehicle,668000,2021-10-03,668000,Pledged,,,,,
COLL002673,L002673,Vehicle,302027.03,2021-10-05,302027.03,Released,,,,,
COLL002695,L002695,Vehicle,224000,2024-09-07,224000,Pledged,,,,,
COLL002702,L002702,Vehicle,307945.21,2022-01-08,307945.21,Pledged,,,,,
COLL002717,L002717,Business Asset / Property,288314.61,2021-10-09,288314.61,Pledged,,,,,
COLL002754,L002754,Business Asset / Property,495316.46,2021-10-13,495316.46,Pledged,,,,,
COLL002760,L002760,Business Asset / Property,83150.68,2023-01-14,83150.68,Pledged,,,,,
COLL002781,L002781,Vehicle,407236.84,2024-02-16,407236.84,Pledged,,,,,
COLL002790,L002790,Business Asset / Property,272638.89,2021-10-16,272638.89,Pledged,,,,,
COLL002796,L002796,Business Asset / Property,373977.27,2021-10-17,373977.27,Pledged,,,,,
COLL002799,L002799,Vehicle,191363.64,2023-07-18,162659.09,Liquidated,2025-05-27,2025-06-17,128869.37,6300.01,122569.36
COLL002801,L002801,Business Asset / Property,70681.82,2021-10-18,70681.82,Pledged,,,,,
COLL002819,L002819,Vehicle,506027.4,2022-01-19,430123.29,Liquidated,2022-08-31,2022-10-04,374533.8,13219.14,361314.66
COLL002826,L002826,Vehicle,1009333.33,2021-10-20,1009333.33,Pledged,,,,,
COLL002857,L002857,Vehicle,239305.56,2021-10-23,239305.56,Pledged,,,,,
COLL002863,L002863,Vehicle,237500,2021-10-23,237500,Released,,,,,
COLL002883,L002883,Vehicle,395294.12,2021-10-25,395294.12,Pledged,,,,,
COLL002884,L002884,Vehicle,197108.43,2022-02-25,197108.43,Released,,,,,
COLL002893,L002893,Business Asset / Property,70581.4,2021-10-26,70581.4,Pledged,,,,,
COLL002895,L002895,Business Asset / Property,624705.88,2021-10-27,531000,Liquidated,2025-07-14,2025-08-11,490755.42,28596.84,462158.58
COLL002909,L002909,Vehicle,373417.72,2021-10-27,373417.72,Released,,,,,
COLL002927,L002927,Vehicle,234520.55,2021-10-28,234520.55,Pledged,,,,,
COLL002935,L002935,Vehicle,236619.72,2021-10-29,236619.72,Pledged,,,,,
COLL002948,L002948,Vehicle,397647.06,2021-10-30,397647.06,Released,,,,,
COLL002950,L002950,Business Asset / Property,423098.59,2021-10-31,423098.59,Released,,,,,
COLL002955,L002955,Vehicle,267195.12,2021-10-31,267195.12,Released,,,,,
COLL002982,L002982,Vehicle,235862.07,2021-11-02,200482.76,Liquidated,2025-02-18,2025-03-13,166556.07,6169.32,160386.75
COLL003037,L003037,Business Asset / Property,127945.21,2021-11-07,127945.21,Released,,,,,
COLL003039,L003039,Business Asset / Property,287333.33,2021-11-07,287333.33,Pledged,,,,,
COLL003043,L003043,Vehicle,724117.65,2021-11-08,724117.65,Pledged,,,,,
COLL003048,L003048,Vehicle,892250,2021-11-08,758412.5,Liquidated,2022-08-19,2022-09-06,680487.87,33234.8,647253.07
COLL003050,L003050,Business Asset / Property,262222.22,2021-11-08,262222.22,Pledged,,,,,
COLL003055,L003055,Business Asset / Property,133684.21,2021-11-08,133684.21,Pledged,,,,,
COLL003074,L003074,Business Asset / Property,139036.14,2021-11-10,139036.14,Pledged,,,,,
COLL003093,L003093,Business Asset / Property,201818.18,2021-11-12,201818.18,Pledged,,,,,
COLL003101,L003101,Vehicle,358965.52,2021-11-12,358965.52,Released,,,,,
COLL003121,L003121,Vehicle,881944.44,2021-11-14,881944.44,Pledged,,,,,
COLL003124,L003124,Vehicle,275662.65,2021-11-15,275662.65,Pledged,,,,,
COLL003139,L003139,Vehicle,589358.97,2021-11-16,589358.97,Pledged,,,,,
COLL003155,L003155,Vehicle,282676.06,2021-11-17,282676.06,Pledged,,,,,
COLL003209,L003209,Vehicle,436216.22,2021-11-22,370783.79,Liquidated,2024-04-06,2024-05-13,365508.88,25589.1,339919.78
COLL003212,L003212,Vehicle,948072.29,2021-11-23,948072.29,Pledged,,,,,
COLL003222,L003222,Vehicle,378452.38,2022-02-23,378452.38,Pledged,,,,,
COLL003234,L003234,Business Asset / Property,888390.8,2021-11-24,888390.8,Pledged,,,,,
COLL003245,L003245,Vehicle,291690.14,2021-11-25,291690.14,Released,,,,,
COLL003271,L003271,Vehicle,730864.2,2021-11-27,730864.2,Pledged,,,,,
COLL003284,L003284,Business Asset / Property,127285.71,2021-11-29,127285.71,Pledged,,,,,
COLL003299,L003299,Vehicle,544819.28,2021-11-30,544819.28,Pledged,,,,,
COLL003305,L003305,Vehicle,1240128.21,2021-12-01,1240128.21,Pledged,,,,,
COLL003323,L003323,Vehicle,239418.6,2021-12-03,203505.81,Liquidated,2023-04-09,2023-05-20,132596.4,5904.07,126692.33
COLL003326,L003326,Business Asset / Property,322784.81,2021-12-03,322784.81,Pledged,,,,,
COLL003338,L003338,Vehicle,455633.8,2021-12-04,455633.8,Pledged,,,,,
COLL003340,L003340,Vehicle,449466.67,2021-12-04,449466.67,Pledged,,,,,
COLL003376,L003376,Vehicle,533766.23,2021-12-08,533766.23,Pledged,,,,,
COLL003386,L003386,Business Asset / Property,374605.26,2021-12-08,374605.26,Released,,,,,
COLL003406,L003406,Business Asset / Property,278648.65,2021-12-10,236851.35,Liquidated,2024-06-14,2024-07-07,171057.89,10690.38,160367.51
COLL003420,L003420,Business Asset / Property,187368.42,2021-12-11,159263.16,Liquidated,2022-08-25,2022-09-27,104371.38,3586.68,100784.7
COLL003423,L003423,Business Asset / Property,100714.29,2021-12-12,100714.29,Pledged,,,,,
COLL003425,L003425,Business Asset / Property,500823.53,2021-12-12,500823.53,Pledged,,,,,
COLL003426,L003426,Business Asset / Property,85058.82,2021-12-12,72300,Liquidated,2024-06-29,2024-07-14,49837.3,2974.37,46862.93
COLL003440,L003440,Business Asset / Property,860563.38,2021-12-13,860563.38,Pledged,,,,,
COLL003447,L003447,Business Asset / Property,635747.13,2023-01-13,635747.13,Released,,,,,
COLL003470,L003470,Vehicle,315802.47,2022-09-15,315802.47,Pledged,,,,,
COLL003501,L003501,Business Asset / Property,162439.02,2021-12-18,162439.02,Pledged,,,,,
COLL003504,L003504,Business Asset / Property,223720.93,2021-12-18,223720.93,Pledged,,,,,
COLL003541,L003541,Vehicle,739342.11,2021-12-21,739342.11,Pledged,,,,,
COLL003545,L003545,Vehicle,191839.08,2021-12-21,191839.08,Pledged,,,,,
COLL003546,L003546,Business Asset / Property,269534.88,2021-12-21,269534.88,Released,,,,,
COLL003568,L003568,Vehicle,822000,2024-10-23,822000,Released,,,,,
COLL003594,L003594,Business Asset / Property,182328.77,2022-02-26,182328.77,Pledged,,,,,
COLL003598,L003598,Business Asset / Property,202222.22,2024-04-26,202222.22,Pledged,,,,,
COLL003601,L003601,Business Asset / Property,130789.47,2021-12-26,130789.47,Pledged,,,,,
COLL003606,L003606,Vehicle,917638.89,2022-02-27,917638.89,Released,,,,,
COLL003614,L003614,Business Asset / Property,662716.05,2025-02-27,662716.05,Pledged,,,,,
COLL003634,L003634,Vehicle,216235.29,2021-12-30,216235.29,Released,,,,,
COLL003643,L003643,Vehicle,203132.53,2021-12-30,203132.53,Pledged,,,,,
COLL003680,L003680,Business Asset / Property,483908.05,2022-01-02,483908.05,Pledged,,,,,
COLL003685,L003685,Vehicle,196962.03,2022-01-02,196962.03,Pledged,,,,,
COLL003700,L003700,Vehicle,209000,2022-01-03,209000,Pledged,,,,,
COLL003702,L003702,Business Asset / Property,254788.73,2022-01-03,254788.73,Pledged,,,,,
COLL003716,L003716,Vehicle,407000,2023-01-05,407000,Pledged,,,,,
COLL003728,L003728,Vehicle,701123.6,2022-01-06,701123.6,Pledged,,,,,
COLL003742,L003742,Business Asset / Property,434941.18,2022-01-08,434941.18,Pledged,,,,,
COLL003746,L003746,Vehicle,260000,2022-01-08,260000,Pledged,,,,,
COLL003761,L003761,Vehicle,297162.16,2022-01-09,297162.16,Pledged,,,,,
COLL003781,L003781,Vehicle,215833.33,2022-01-10,215833.33,Released,,,,,
COLL003794,L003794,Business Asset / Property,247051.28,2022-01-12,209993.59,Liquidated,2025-05-01,2025-06-02,180112.07,10439.92,169672.15
COLL003799,L003799,Business Asset / Property,175432.1,2023-07-12,175432.1,Pledged,,,,,
COLL003801,L003801,Vehicle,254269.66,2022-01-12,254269.66,Pledged,,,,,
COLL003811,L003811,Vehicle,342727.27,2022-01-13,342727.27,Pledged,,,,,
COLL003813,L003813,Vehicle,739615.38,2022-01-13,739615.38,Pledged,,,,,
COLL003850,L003850,Vehicle,209459.46,2022-01-16,209459.46,Pledged,,,,,
COLL003856,L003856,Vehicle,306493.51,2022-01-16,306493.51,Pledged,,,,,
COLL003886,L003886,Vehicle,1362236.84,2022-01-19,1157901.31,Liquidated,2022-10-05,2022-11-01,1122121.23,58093.48,1064027.75
COLL003888,L003888,Vehicle,496144.58,2022-01-20,496144.58,Released,,,,,
COLL003927,L003927,Vehicle,472638.89,2022-01-23,401743.06,Liquidated,2022-04-30,2022-05-21,367616.59,14608.84,353007.75
COLL003929,L003929,Vehicle,413095.24,2022-01-24,413095.24,Released,,,,,
COLL003944,L003944,Vehicle,363372.09,2022-01-25,308866.28,Liquidated,2022-06-12,2022-07-01,295067.08,19953.74,275113.34
COLL003951,L003951,Business Asset / Property,68048.78,2022-01-25,68048.78,Pledged,,,,,
COLL004000,L004000,Vehicle,265294.12,2022-01-30,265294.12,Pledged,,,,,
COLL004003,L004003,Vehicle,294651.16,2022-01-30,294651.16,Pledged,,,,,
COLL004007,L004007,Vehicle,323555.56,2022-01-30,323555.56,Pledged,,,,,
COLL004014,L004014,Business Asset / Property,174938.27,2023-08-30,174938.27,Pledged,,,,,
COLL004028,L004028,Business Asset / Property,101842.11,2022-02-01,101842.11,Pledged,,,,,
COLL004031,L004031,Vehicle,540365.85,2022-08-01,540365.85,Pledged,,,,,
COLL004055,L004055,Business Asset / Property,781052.63,2022-02-03,781052.63,Pledged,,,,,
COLL004076,L004076,Business Asset / Property,424567.9,2024-05-05,424567.9,Pledged,,,,,
COLL004107,L004107,Vehicle,265915.49,2022-02-07,265915.49,Pledged,,,,,
COLL004109,L004109,Vehicle,304936.71,2022-02-07,304936.71,Pledged,,,,,
COLL004128,L004128,Vehicle,458750,2022-02-10,458750,Pledged,,,,,
COLL004154,L004154,Business Asset / Property,244615.38,2022-02-12,244615.38,Pledged,,,,,
COLL004176,L004176,Business Asset / Property,91839.08,2022-02-14,91839.08,Pledged,,,,,
COLL004194,L004194,Vehicle,252857.14,2022-02-16,252857.14,Pledged,,,,,
COLL004201,L004201,Business Asset / Property,103058.82,2022-02-17,87600,Liquidated,2024-08-25,2024-09-22,61470.33,4844.36,56625.97
COLL004228,L004228,Vehicle,246266.67,2022-02-19,246266.67,Pledged,,,,,
COLL004278,L004278,Vehicle,371785.71,2022-02-24,371785.71,Pledged,,,,,
COLL004284,L004284,Vehicle,192500,2022-02-25,192500,Released,,,,,
