application_id,customer_id,assessment_date,monthly_income_at_assessment,existing_monthly_obligations,proposed_installment_est,dti,credit_score_at_assessment,employment_length_at_assessment,ltv,risk_grade,risk_points,previous_default_flag
APP0000030,C001770,2025-09-13,9870.53,0,92673.35,9.39,549,225,0.79,C,7,FALSE
APP0000031,C001844,2021-08-22,40812.31,0,10377.28,0.25,587,36,,B,5,FALSE
APP0000032,C007627,2021-08-14,18949.74,0,19460.24,1.03,683,190,0.84,B,5,FALSE
APP0000033,C001106,2023-04-02,16261.9,0,3938.74,0.24,725,63,0.72,A,1,FALSE
APP0000034,C003504,2026-04-11,70557.39,0,10291.67,0.15,666,163,,A,0,FALSE
APP0000035,C002375,2022-05-02,14245.01,0,3737.85,0.26,577,58,,C,6,FALSE
APP0000036,C010141,2024-08-29,17245.71,0,3188.76,0.18,541,165,,B,4,FALSE
APP0000037,C007075,2022-01-30,54691.82,0,6040.67,0.11,598,84,,B,3,FALSE
APP0000038,C001839,2024-12-22,22423.02,0,8955.5,0.4,555,37,,C,6,FALSE
APP0000039,C009207,2022-08-13,30164.65,0,15321.91,0.51,510,37,0.78,C,8,FALSE
APP0000040,C001726,2024-01-24,13914.17,0,13779.35,0.99,688,261,,B,5,TRUE
APP0000041,C007597,2021-05-30,22287.96,0,1808.99,0.08,602,64,,B,3,FALSE
APP0000042,C001146,2021-04-19,16054,0,12275.26,0.76,489,72,0.88,C,8,FALSE
APP0000043,C001081,2025-06-27,12412.63,0,9454.2,0.76,713,195,,B,5,FALSE
APP0000044,C000544,2023-06-07,17642.46,0,8295.34,0.47,583,108,,C,7,FALSE
APP0000045,C007362,2023-11-22,11094.4,0,36292.44,3.27,675,275,0.72,B,5,FALSE
APP0000046,C010526,2022-10-02,39254.3,0,8911.4,0.23,582,144,,B,4,FALSE
APP0000047,C010565,2026-01-18,6713.06,0,5796.54,0.86,470,42,,D,9,FALSE
APP0000048,C002384,2024-10-17,48921.25,0,5294.69,0.11,715,299,,A,2,FALSE
APP0000049,C006525,2024-02-07,41078.51,0,20807.15,0.51,714,178,0.76,B,4,FALSE
APP0000050,C005690,2025-04-23,8300.78,0,12360.58,1.49,659,126,,C,6,FALSE
APP0000051,C004468,2023-01-01,22793.54,0,10325.61,0.45,543,287,,B,5,FALSE
APP0000052,C000314,2023-03-13,10827.14,0,62326.25,5.76,535,84,0.78,C,7,FALSE
APP0000053,C004827,2022-10-23,18829.64,0,40480.1,2.15,618,361,0.79,C,6,FALSE
APP0000054,C000332,2025-06-25,53418.36,0,6585.36,0.12,772,64,,A,0,FALSE
APP0000055,C004221,2023-11-06,34734.95,0,1656.07,0.05,629,108,,A,2,TRUE
APP0000056,C004852,2025-12-09,17899.86,0,2128.81,0.12,645,346,,A,1,FALSE
APP0000057,C000066,2022-05-04,76691.91,0,9868.64,0.13,735,220,0.89,A,0,FALSE
APP0000058,C008899,2026-05-03,17676.42,0,19529.49,1.1,651,302,0.84,B,5,FALSE
APP0000059,C010077,2025-03-16,16377.32,0,5124.49,0.31,722,299,,B,3,FALSE
APP0000060,C003277,2024-02-26,15798.62,0,36438.66,2.31,552,18,0.89,D,10,FALSE
APP0000061,C003484,2021-06-16,15085.73,0,20912.78,1.39,673,88,0.85,C,6,FALSE
APP0000062,C004276,2021-12-31,12872.45,0,9751.89,0.76,549,10,,D,11,FALSE
APP0000063,C008676,2024-03-09,19417.38,0,4465.36,0.23,538,30,,C,6,FALSE
APP0000064,C001006,2021-05-18,7134.53,0,19854.31,2.78,515,13,,D,11,FALSE
APP0000065,C000603,2022-06-09,53388,0,2137.03,0.04,655,32,,B,3,FALSE
APP0000066,C004287,2021-06-09,10598.93,0,1255.7,0.12,702,127,,A,2,FALSE
APP0000067,C009063,2024-12-05,40411.95,0,5511.93,0.14,850,186,,A,0,FALSE
APP0000068,C002605,2026-02-07,41775.94,0,5005.56,0.12,510,204,,B,3,TRUE
APP0000069,C005729,2025-06-25,15611.58,0,52678.81,3.37,691,274,0.81,B,5,FALSE
APP0000070,C004080,2021-12-29,30252.24,0,827.11,0.03,645,179,,A,1,FALSE
APP0000071,C002532,2023-01-01,59006.02,0,44488.54,0.75,653,264,0.73,B,3,FALSE
APP0000072,C002786,2023-10-06,9661.45,0,9427.86,0.98,561,17,,D,11,FALSE
APP0000073,C002162,2021-01-06,13755.01,0,10228.28,0.74,669,273,,B,4,FALSE
APP0000074,C006834,2026-01-20,39958.47,0,87000.88,2.18,586,28,0.73,B,5,FALSE
APP0000075,C004612,2021-05-29,51358.77,0,4478.2,0.09,747,325,,A,0,FALSE
APP0000076,C008800,2026-02-11,8703.14,0,22442.67,2.58,533,380,0.87,D,9,FALSE
APP0000077,C001208,2025-03-19,37712.66,0,45483.63,1.21,503,15,0.74,D,9,FALSE
APP0000078,C008142,2021-11-15,7351.45,0,11642.98,1.58,539,210,,C,8,FALSE
APP0000079,C000339,2022-05-29,24482.27,0,5733.21,0.23,617,5,,C,6,FALSE
APP0000080,C008962,2022-06-15,6434.57,0,10897.19,1.69,530,17,,D,10,FALSE
APP0000081,C000725,2025-11-11,10428.28,0,5629.95,0.54,653,132,,B,5,FALSE
APP0000082,C001817,2025-01-01,31672.96,0,37658.67,1.19,687,134,0.76,B,4,FALSE
APP0000083,C001004,2025-01-28,24188.13,0,3616.46,0.15,570,104,,B,4,FALSE
APP0000084,C001977,2023-04-02,14769.12,0,9959.64,0.67,559,25,,C,8,FALSE
APP0000085,C001134,2022-05-01,32454.93,0,28869.54,0.89,676,148,0.71,B,4,FALSE
APP0000086,C005361,2024-09-03,74916.79,0,114785.29,1.53,594,217,0.74,B,5,FALSE
APP0000087,C000215,2025-02-21,33941.61,0,4808.44,0.14,610,25,,B,3,FALSE
APP0000088,C002131,2025-10-19,49024.53,0,11075.23,0.23,568,355,,B,5,FALSE
APP0000089,C010278,2022-08-26,8585.58,0,60091.18,7,516,55,0.88,D,9,FALSE
APP0000090,C009705,2023-06-06,11446.69,0,20173.84,1.76,603,216,,C,6,FALSE
APP0000091,C004179,2023-04-13,28052.58,0,6510.37,0.23,647,61,,A,1,FALSE
APP0000092,C001419,2024-05-12,36465.99,0,72702.09,1.99,586,28,0.82,C,7,FALSE
APP0000093,C004181,2021-04-22,33597.15,0,7459.48,0.22,706,98,,A,2,FALSE
APP0000094,C004149,2024-06-30,9627.84,0,2693.37,0.28,665,123,,B,4,FALSE
APP0000095,C004173,2025-07-26,12974.07,0,9541.56,0.74,635,35,,C,6,TRUE
APP0000096,C009666,2025-09-24,49797.99,0,3622.24,0.07,672,17,,B,4,FALSE
APP0000097,C005360,2022-05-18,15879.33,0,61539.93,3.88,760,260,0.75,B,3,FALSE
APP0000098,C010895,2022-05-26,27357.09,0,6896.81,0.25,739,145,,A,2,FALSE
APP0000099,C006959,2025-07-24,43845.08,0,2481.14,0.06,663,153,,A,1,FALSE
APP0000100,C007428,2024-08-16,12043.74,0,12869.53,1.07,685,291,,B,4,TRUE
APP0000101,C005610,2026-01-05,29861.76,0,2344.17,0.08,658,81,,A,1,FALSE
APP0000102,C002752,2026-06-28,45825.81,0,49128.22,1.07,696,399,,B,4,FALSE
APP0000103,C009711,2021-11-26,20124.81,0,1925.81,0.1,652,12,,B,4,FALSE
APP0000104,C007616,2025-11-04,70517.02,0,44720.92,0.63,628,105,0.8,B,5,FALSE
APP0000105,C010850,2022-02-09,25718.59,0,68934.65,2.68,475,103,0.78,C,8,FALSE
APP0000106,C000730,2022-07-08,11223.16,0,14008.4,1.25,702,91,,B,5,FALSE
APP0000107,C000535,2025-09-17,43341.03,0,2655.74,0.06,611,83,,A,2,FALSE
APP0000108,C004550,2023-06-29,31051.46,0,67992.23,2.19,560,213,0.85,C,6,FALSE
APP0000109,C006389,2024-01-24,24915.82,0,9030.31,0.36,675,38,,B,3,FALSE
APP0000110,C001812,2026-06-02,35387.11,0,8099.86,0.23,589,391,,B,4,FALSE
APP0000111,C004925,2025-05-23,54611.18,0,33766.66,0.62,749,143,0.8,B,3,FALSE
APP0000112,C001998,2022-12-13,26335.12,0,5907.89,0.22,698,379,,A,2,FALSE
APP0000113,C004163,2022-05-10,8389.62,0,53113.26,6.33,551,292,0.83,C,8,FALSE
APP0000114,C003194,2021-11-30,6631.39,0,44621.45,6.73,585,122,0.82,C,7,FALSE
APP0000115,C006482,2024-11-08,14379.14,0,10311.36,0.72,574,234,0.82,C,7,FALSE
APP0000116,C006373,2022-10-21,58917,0,16435.23,0.28,564,13,,B,5,FALSE
APP0000117,C002811,2022-02-01,12824.31,0,5712.82,0.45,600,132,,B,4,FALSE
APP0000118,C005886,2026-03-05,33387.89,0,6695.09,0.2,457,19,,C,7,FALSE
APP0000119,C000473,2023-09-08,34611.65,0,1430.01,0.04,533,8,,C,7,FALSE
APP0000120,C006162,2024-10-03,22747.35,0,6281.35,0.28,669,101,,A,2,FALSE
APP0000121,C004506,2025-08-31,22555,0,8113.7,0.36,613,80,,B,5,FALSE
APP0000122,C001696,2024-01-12,15652.02,0,5349.88,0.34,616,85,,B,4,FALSE
APP0000123,C002665,2025-11-18,20569.67,0,902.07,0.04,654,190,,A,1,FALSE
APP0000124,C006497,2026-01-09,16897.25,0,2460.2,0.15,658,190,,A,2,FALSE
APP0000125,C007274,2025-02-15,21000.48,0,46210.75,2.2,579,270,0.72,C,7,FALSE
APP0000126,C006569,2025-08-29,10316.02,0,2080.01,0.2,809,156,,A,1,FALSE
APP0000127,C007137,2022-02-19,28668.87,0,6553.35,0.23,660,333,,B,3,FALSE
APP0000128,C004603,2024-01-29,12336.4,0,7009.55,0.57,764,154,,B,4,FALSE
APP0000129,C010991,2024-03-16,43725.42,0,17558.66,0.4,676,21,,B,5,FALSE
APP0000130,C006966,2024-10-16,7139.57,0,2116.93,0.3,579,89,,B,5,FALSE
APP0000131,C004317,2025-11-29,32474.97,0,6952.62,0.21,673,111,,A,2,FALSE
APP0000132,C008023,2022-10-11,47230.57,0,1704.42,0.04,705,209,,A,0,FALSE
APP0000133,C005181,2023-07-07,21254.69,0,57143.47,2.69,576,32,0.81,C,8,FALSE
APP0000134,C005108,2022-05-03,19256.74,0,67095.23,3.48,655,387,0.79,C,6,FALSE
APP0000135,C010430,2022-01-15,55966.64,0,20547.78,0.37,623,41,0.79,C,6,FALSE
APP0000136,C001607,2025-04-13,11843,0,806.4,0.07,472,137,,B,5,FALSE
APP0000137,C009036,2025-07-10,31957.84,0,7407.78,0.23,653,281,0.77,A,2,FALSE
APP0000138,C010864,2022-07-25,35162.51,0,36567.1,1.04,576,52,0.73,C,7,FALSE
APP0000139,C004619,2023-04-30,18473.27,0,5753.71,0.31,669,91,,B,3,FALSE
APP0000140,C007540,2021-04-16,48715.92,0,35703.47,0.73,547,26,0.89,C,8,FALSE
APP0000141,C003840,2021-10-05,10356.47,1652.95,23801.88,2.46,632,27,,C,7,FALSE
APP0000142,C001133,2023-01-16,15193.76,0,6617.55,0.44,596,5,,D,9,FALSE
APP0000143,C008870,2024-05-07,81334.66,0,8881.94,0.11,644,420,,A,1,FALSE
APP0000144,C005043,2023-12-01,44968.24,0,3476.87,0.08,698,274,,A,2,FALSE
APP0000145,C003262,2021-04-25,34951.91,0,3121.1,0.09,611,93,,A,1,FALSE
APP0000146,C006775,2021-09-10,36763.06,0,9397.31,0.26,574,9,,C,7,FALSE
APP0000147,C010492,2023-04-02,22591.96,0,6043.87,0.27,614,113,,B,4,FALSE
APP0000148,C009387,2022-11-03,13724.8,0,4471.02,0.33,690,239,,B,3,FALSE
APP0000149,C010832,2022-11-17,35468.09,0,91062.67,2.57,590,31,0.77,C,6,FALSE
APP0000150,C009173,2022-09-08,28472.5,0,12192.53,0.43,663,70,,B,4,FALSE
APP0000151,C008267,2023-09-03,36041.93,0,8599.82,0.24,623,154,,B,4,FALSE
APP0000152,C001041,2024-01-31,18731.99,0,77552.19,4.14,682,45,0.84,C,7,FALSE
APP0000153,C010200,2021-12-26,7640.06,0,15938.43,2.09,498,13,0.7,D,11,FALSE
APP0000154,C009837,2025-07-14,35062.17,0,3554.81,0.1,607,51,,B,3,FALSE
APP0000155,C008288,2023-03-20,18441.37,0,8243.43,0.45,658,140,,B,4,FALSE
APP0000156,C000276,2022-11-05,12509.26,0,3195.3,0.26,570,239,,B,4,FALSE
APP0000157,C000900,2023-05-12,24796.16,0,3340.93,0.13,442,42,,B,4,FALSE
APP0000158,C010629,2022-06-01,33318.2,0,6408.88,0.19,590,173,,A,2,TRUE
APP0000159,C000481,2021-08-15,29078.61,0,3026.68,0.1,566,276,,B,4,FALSE
APP0000160,C009228,2021-02-17,11857.41,0,34483.11,2.91,527,56,0.72,C,8,FALSE
APP0000161,C004887,2024-04-04,18569.62,0,11898.95,0.64,689,230,,C,6,FALSE
APP0000162,C007651,2022-05-10,30266.76,0,9772.14,0.32,673,261,,A,2,FALSE
APP0000163,C000789,2021-03-19,14699.58,0,13253.93,0.9,736,255,0.8,B,4,FALSE
APP0000164,C000290,2025-10-04,75784.96,0,10178.16,0.13,691,108,0.74,A,2,FALSE
APP0000165,C006437,2023-05-17,29419.35,0,1337.24,0.05,550,310,,B,3,FALSE
APP0000166,C004905,2023-03-06,11926.78,0,9908.83,0.83,529,110,,C,8,TRUE
APP0000167,C009034,2024-03-02,20367.02,0,17240.21,0.85,695,124,0.72,B,4,FALSE
APP0000168,C003568,2025-08-10,14173.49,0,5129.59,0.36,641,264,,B,5,FALSE
APP0000169,C005207,2026-06-06,12365.94,0,6249.66,0.51,597,262,0.8,C,7,FALSE
APP0000170,C004389,2026-01-30,16236.05,0,7108.75,0.44,653,368,,B,5,FALSE
APP0000171,C001052,2026-04-19,55995.5,0,3251.29,0.06,720,71,,A,0,FALSE
APP0000172,C008923,2023-10-16,13434.25,0,10313.66,0.77,486,7,,D,11,FALSE
APP0000173,C006345,2024-01-07,21372.3,0,47411.4,2.22,578,17,0.75,C,8,FALSE
APP0000174,C005093,2022-05-18,10160.12,0,4087.36,0.4,445,4,,D,10,FALSE
APP0000175,C001411,2021-04-23,33527.56,0,74541.8,2.22,671,102,0.71,B,4,FALSE
APP0000176,C000076,2025-01-07,13290.33,0,24077.66,1.81,641,61,0.75,C,6,FALSE
APP0000177,C000032,2021-03-30,22188.56,0,2168.7,0.1,648,101,,A,2,FALSE
APP0000178,C000772,2025-09-29,24020.74,0,1618.1,0.07,635,166,,A,2,FALSE
APP0000179,C000376,2025-09-26,50848.71,0,17195.96,0.34,606,113,,B,3,FALSE
APP0000180,C005472,2024-12-07,38968.7,0,24100.31,0.62,593,113,,B,5,TRUE
APP0000181,C000042,2023-11-27,24762.77,0,5287.46,0.21,540,141,,B,5,FALSE
APP0000182,C001673,2026-03-29,18462.49,0,3229.06,0.17,680,236,,A,2,FALSE
APP0000183,C007056,2023-11-22,55893.31,0,40301.39,0.72,605,16,0.78,C,7,FALSE
APP0000184,C010225,2023-12-04,36039.05,0,6239.64,0.17,731,219,0.78,A,0,FALSE
APP0000185,C002427,2026-05-12,9049.37,0,11105.27,1.23,624,85,,C,7,FALSE
APP0000186,C009330,2021-05-02,28547.62,0,49831.34,1.75,558,86,,C,6,FALSE
APP0000187,C001390,2022-07-25,10491.28,0,2400.63,0.23,574,120,,B,5,FALSE
APP0000188,C007927,2026-06-27,22043.65,0,4297.03,0.19,626,191,0.84,B,3,FALSE
APP0000189,C006122,2021-02-22,51942.06,0,3728.92,0.07,671,163,,A,1,FALSE
APP0000190,C008935,2025-10-19,38332.91,0,7802.43,0.2,551,69,,A,2,FALSE
APP0000191,C000775,2022-12-30,16786.65,0,17695.14,1.05,611,68,,C,6,FALSE
APP0000192,C002023,2024-09-09,11377.36,0,10542.04,0.93,535,27,,C,8,TRUE
APP0000193,C008932,2024-03-19,33190.54,0,11010.47,0.33,573,122,,B,4,FALSE
APP0000194,C002874,2021-12-10,28643.7,0,7460.12,0.26,594,170,,B,3,FALSE
APP0000195,C010850,2025-01-11,25718.59,0,18072.32,0.7,475,103,,C,8,FALSE
APP0000196,C002000,2021-02-16,19208.03,0,6993.93,0.36,521,54,0.87,C,8,FALSE
APP0000197,C003883,2022-01-21,49978.23,0,33493.3,0.67,697,35,0.89,C,6,FALSE
APP0000198,C006312,2023-09-02,14155.33,0,20288.7,1.43,543,88,0.74,C,8,FALSE
APP0000199,C003450,2023-04-01,13383.74,0,7356.59,0.55,595,98,,C,6,FALSE
APP0000200,C002663,2021-04-07,10018.69,0,10289.92,1.03,539,66,,C,7,FALSE
APP0000201,C005218,2025-11-03,30971.67,0,10499.6,0.34,607,113,,B,3,FALSE
APP0000202,C005797,2025-12-13,32774.55,0,7872.74,0.24,761,38,,A,1,TRUE
APP0000203,C001713,2022-12-08,44839.82,0,11413.25,0.25,495,115,,B,5,FALSE
APP0000204,C010758,2021-10-30,13659.65,0,8313.07,0.61,552,61,,C,8,FALSE
APP0000205,C007898,2021-08-16,19179.58,0,5115.11,0.27,563,221,,C,6,FALSE
APP0000206,C008149,2023-02-04,27792.86,0,3672.21,0.13,588,175,,A,2,FALSE
APP0000207,C001807,2022-02-28,19366.82,0,13777.47,0.71,646,71,,B,4,FALSE
APP0000208,C003337,2023-04-23,9583.5,0,11595.05,1.21,507,28,0.7,D,9,FALSE
APP0000209,C002598,2021-07-25,18764.19,0,6275.65,0.33,682,55,0.74,B,4,FALSE
APP0000210,C006660,2025-07-21,19612.92,0,796.52,0.04,544,10,,C,7,FALSE
APP0000211,C008749,2022-09-28,13269.67,0,39507.47,2.98,602,106,0.75,C,6,FALSE
APP0000212,C008105,2025-10-07,41962.03,1581.05,3037.59,0.11,632,125,,A,1,FALSE
APP0000213,C009703,2024-01-06,27962.46,0,3229.95,0.12,575,282,,A,2,FALSE
APP0000214,C005156,2023-02-18,15771.26,0,5085.88,0.32,729,56,,B,3,FALSE
APP0000215,C006153,2024-05-03,9722.53,0,49148.88,5.06,626,109,0.83,C,7,TRUE
APP0000216,C007533,2024-03-01,31089.3,0,2485.15,0.08,622,193,,A,2,FALSE
APP0000217,C004287,2024-04-22,10598.93,1235.13,8669.93,0.93,702,127,0.72,B,5,FALSE
APP0000218,C006138,2026-03-03,6731.02,0,1580.45,0.23,535,337,,C,7,FALSE
APP0000219,C003691,2022-11-03,21678.91,0,5742.59,0.26,589,164,,B,4,FALSE
APP0000220,C009516,2026-05-22,26915.7,0,6946.82,0.26,609,61,,B,4,FALSE
APP0000221,C009286,2021-11-12,17036.14,0,13061.39,0.77,630,247,,C,7,FALSE
APP0000222,C009822,2022-10-10,24222.29,0,24224.78,1,707,317,,B,5,FALSE
APP0000223,C001978,2022-01-12,72879,0,49072.04,0.67,631,120,0.77,C,6,FALSE
APP0000224,C001835,2026-01-29,27408.46,0,9241.52,0.34,632,128,,A,2,FALSE
APP0000225,C002167,2024-12-09,67763.44,0,43148.58,0.64,754,83,0.89,B,4,FALSE
APP0000226,C000909,2024-03-17,6636.78,0,19765.83,2.98,364,10,,D,11,FALSE
APP0000227,C001143,2025-12-24,32001.76,0,35668.26,1.11,543,64,0.73,C,6,FALSE
APP0000228,C001576,2022-02-14,30033.78,0,9735.11,0.32,592,252,,B,4,FALSE
APP0000229,C001364,2022-06-22,13161.16,0,40146.11,3.05,542,81,0.83,C,7,FALSE
APP0000230,C006822,2026-04-12,35583.67,0,8181.11,0.23,594,4,0.83,C,7,FALSE
APP0000231,C007487,2024-10-09,25455.2,0,18472.42,0.73,658,58,0.8,B,5,FALSE
APP0000232,C003862,2024-03-05,14293.54,0,13118.18,0.92,493,32,,D,10,FALSE
APP0000233,C003378,2025-02-27,18884.73,0,20789.08,1.1,768,226,0.87,B,3,FALSE
APP0000234,C004857,2021-10-16,12414.96,0,5100.82,0.41,496,77,,C,8,FALSE
APP0000235,C002960,2023-04-19,8840.76,0,6408.63,0.72,535,90,,D,9,FALSE
APP0000236,C007532,2021-09-18,29733.28,0,8626.08,0.29,648,59,0.88,A,2,FALSE
APP0000237,C002230,2024-12-23,10833.37,0,16632.22,1.54,611,147,0.83,C,6,FALSE
APP0000238,C004502,2023-09-08,8268.75,0,14371.15,1.74,527,43,,C,8,FALSE
APP0000239,C003368,2025-01-18,31049.21,0,36199.14,1.17,643,3,0.76,C,7,FALSE
APP0000240,C004132,2021-10-27,50470.29,0,9414.84,0.19,713,31,0.71,A,2,FALSE
APP0000241,C002260,2024-10-27,51895.53,0,22697.92,0.44,683,70,,B,4,FALSE
APP0000242,C010153,2022-11-20,24449.97,0,34875.73,1.43,682,267,,B,4,FALSE
APP0000243,C007808,2023-07-27,32051.83,0,11907.16,0.37,727,173,,A,2,FALSE
APP0000244,C003004,2025-02-21,36031.83,0,7168.66,0.2,626,105,0.85,A,2,FALSE
APP0000245,C010189,2026-06-10,35757.3,0,34177.26,0.96,675,388,0.84,B,5,FALSE
APP0000246,C004054,2025-02-27,27697.45,0,5465.52,0.2,752,187,,A,1,FALSE
APP0000247,C003806,2022-12-26,24747.01,0,1550.46,0.06,611,249,,A,1,FALSE
APP0000248,C006795,2024-11-13,51243.41,0,6546.26,0.13,549,165,,B,3,FALSE
APP0000249,C010049,2024-12-12,36234.71,0,3282.07,0.09,650,387,,A,2,FALSE
APP0000250,C000230,2023-12-29,20648.9,0,1403.62,0.07,657,168,,A,0,FALSE
APP0000251,C009011,2025-05-23,26740.22,0,11740.77,0.44,631,70,,B,5,FALSE
APP0000252,C006994,2024-01-05,9200.17,0,8473.25,0.92,559,239,,C,8,FALSE
APP0000253,C007641,2023-09-25,29679.69,0,11225.44,0.38,479,123,,B,5,FALSE
APP0000254,C002205,2023-06-05,84064.73,0,7224.66,0.09,668,231,,A,1,FALSE
APP0000255,C006847,2021-08-26,16757.27,0,4261,0.25,676,43,,B,5,FALSE
APP0000256,C004069,2024-01-19,27441.56,0,22518.41,0.82,648,147,,B,5,FALSE
APP0000257,C003275,2022-01-19,82293.56,0,2475.81,0.03,587,142,,A,2,FALSE
APP0000258,C001537,2025-07-23,22401.33,0,3532.74,0.16,541,232,,B,3,FALSE
APP0000259,C005550,2021-11-25,54042.48,0,31457.08,0.58,663,26,0.85,C,6,FALSE
APP0000260,C009432,2025-10-30,30888.15,0,4133.64,0.13,645,100,,A,0,FALSE
APP0000261,C004074,2024-09-26,23713.93,0,47812.13,2.02,677,139,,B,4,FALSE
APP0000262,C000575,2021-08-21,29606.13,0,9444.66,0.32,577,102,,B,4,FALSE
APP0000263,C009364,2022-12-08,36842.73,0,13281.54,0.36,645,166,0.8,A,2,FALSE
APP0000264,C010718,2024-05-25,17328.08,0,16843.43,0.97,563,66,,C,7,FALSE
APP0000265,C000749,2023-01-19,19595,0,9457.19,0.48,691,55,,B,5,FALSE
APP0000266,C003924,2023-08-08,33561.61,0,20421.48,0.61,676,187,0.84,B,4,FALSE
APP0000267,C005582,2021-04-26,7325.72,0,58803.52,8.03,564,125,0.8,C,8,FALSE
APP0000268,C008653,2021-10-20,18240.27,0,646.9,0.04,710,28,,B,3,FALSE
APP0000269,C003862,2021-07-24,14293.54,0,6492.35,0.45,493,32,,D,9,FALSE
APP0000270,C009483,2023-12-15,18301.92,0,10365.25,0.57,537,14,0.83,C,8,FALSE
APP0000271,C010294,2024-09-24,59443.97,0,34894.52,0.59,556,246,0.85,B,5,FALSE
APP0000272,C007372,2024-11-18,13409.73,0,1281.66,0.1,541,233,,B,4,FALSE
APP0000273,C000727,2026-03-21,18800.19,0,2177.86,0.12,613,406,0.71,B,3,FALSE
APP0000274,C006687,2024-09-23,14095.86,0,8536.47,0.61,640,44,,B,5,TRUE
APP0000275,C005412,2021-05-27,12257.24,0,3873.89,0.32,678,65,,B,4,FALSE
APP0000276,C007667,2022-05-08,7795.1,0,16303.49,2.09,612,218,0.85,C,8,FALSE
APP0000277,C009842,2024-08-27,56589.18,0,5497.94,0.1,792,119,,A,0,FALSE
APP0000278,C003022,2023-02-06,27525.03,0,5700.06,0.21,577,146,0.84,B,4,FALSE
APP0000279,C004089,2021-12-15,51182.83,0,2232.56,0.04,575,35,,B,4,FALSE
APP0000280,C009527,2021-12-10,20674.32,0,4337.24,0.21,676,99,,A,2,FALSE
APP0000281,C008921,2022-09-03,15920.4,0,55372.91,3.48,708,81,0.74,C,6,FALSE
APP0000282,C003328,2021-06-01,39917.74,0,4269.19,0.11,709,122,,A,2,FALSE
APP0000283,C005609,2024-10-11,69151.2,0,8451.75,0.12,607,142,,A,1,FALSE
APP0000284,C005350,2023-12-12,30656.6,0,27324.51,0.89,551,40,0.76,C,7,TRUE
APP0000285,C010575,2024-05-27,22052.52,0,2311.99,0.1,591,367,,A,2,FALSE
APP0000286,C006522,2023-12-05,34876.64,0,35594.53,1.02,679,190,,B,4,FALSE
APP0000287,C007552,2026-02-04,86462.6,0,8360.26,0.1,642,158,0.86,A,1,FALSE
APP0000288,C007346,2025-02-02,15893.93,0,27064.37,1.7,598,33,0.84,C,7,FALSE
