application_id,customer_id,application_date,assessment_date,approval_date,issue_date,product_type,requested_amount,requested_term_months,application_channel,status,rejection_reason
APP0059647,C009625,2021-01-01,2021-01-04,,,Auto Loan,1137000,46,Mobile App,Rejected,High DTI
APP0061880,C001782,2021-01-01,2021-01-02,,,Small Business Loan,1788600,42,Mobile App,Rejected,High DTI
APP0065873,C007966,2021-01-01,2021-01-02,,,Small Business Loan,1354800,19,Mobile App,Rejected,High DTI
APP0065943,C010932,2021-01-01,2021-01-02,,,Personal Loan,267900,48,Online,Rejected,High DTI
APP0067798,C005823,2021-01-01,2021-01-04,,,Personal Loan,98300,42,Mobile App,Rejected,High DTI
APP0070037,C001807,2021-01-01,2021-01-03,2021-01-06,2021-01-08,Consumer Loan,74900,30,Branch,Approved,
APP0070089,C008881,2021-01-01,2021-01-03,,,Small Business Loan,285100,52,Call Center,Rejected,Low Credit Score
APP0070514,C009883,2021-01-01,2021-01-04,,,Small Business Loan,1048300,56,Branch,Rejected,High DTI
APP0070547,C003242,2021-01-01,2021-01-02,2021-01-06,2021-01-07,Personal Loan,96000,36,Agent,Approved,
APP0072010,C006700,2021-01-01,2021-01-03,,,Consumer Loan,140700,29,Agent,Rejected,Low Credit Score
APP0072191,C006738,2021-01-01,2021-01-04,,,Auto Loan,440300,45,Online,Rejected,High DTI
APP0074825,C007907,2021-01-01,2021-01-04,2021-01-08,2021-01-08,Personal Loan,63200,45,Branch,Approved,
APP0075552,C006245,2021-01-01,2021-01-03,,,Consumer Loan,83700,34,Branch,Rejected,Low Credit Score
APP0077492,C006158,2021-01-01,2021-01-02,2021-01-06,2021-01-07,Consumer Loan,42300,9,Branch,Approved,
APP0078858,C002092,2021-01-01,2021-01-04,,,Auto Loan,1283200,43,Mobile App,Rejected,High DTI
APP0001617,C002031,2021-01-02,2021-01-04,2021-01-05,2021-01-08,Personal Loan,154500,15,Online,Approved,
APP0001705,C010513,2021-01-02,2021-01-04,,,Auto Loan,1459600,59,Call Center,Rejected,High DTI
APP0003856,C002871,2021-01-02,2021-01-04,2021-01-07,2021-01-08,Consumer Loan,103000,33,Call Center,Approved,
APP0004306,C007521,2021-01-02,2021-01-04,,,Auto Loan,1451000,40,Mobile App,Rejected,Low Credit Score
APP0006659,C010427,2021-01-02,2021-01-04,2021-01-08,2021-01-10,Personal Loan,157500,45,Online,Approved,
APP0007420,C005415,2021-01-02,2021-01-05,,,Small Business Loan,1446800,49,Branch,Rejected,High DTI
APP0012217,C007706,2021-01-02,2021-01-04,,,Consumer Loan,50600,6,Branch,Rejected,High DTI
APP0012329,C003580,2021-01-02,2021-01-04,2021-01-05,2021-01-07,Personal Loan,151800,46,Online,Approved,
APP0012520,C003553,2021-01-02,2021-01-03,,,Personal Loan,125600,40,Online,Rejected,High DTI
APP0013929,C001100,2021-01-02,2021-01-04,,,Auto Loan,1270200,48,Mobile App,Rejected,High DTI
APP0014171,C008142,2021-01-02,2021-01-04,,,Auto Loan,834600,43,Branch,Rejected,High DTI
APP0015334,C003565,2021-01-02,2021-01-05,,,Small Business Loan,1669500,23,Branch,Rejected,High DTI
APP0015884,C006545,2021-01-02,2021-01-05,2021-01-08,2021-01-09,Personal Loan,145500,47,Branch,Approved,
APP0016392,C006289,2021-01-02,2021-01-04,2021-01-05,2021-01-08,Consumer Loan,17600,34,Online,Approved,
APP0017271,C003755,2021-01-02,2021-01-03,2021-01-05,2021-01-05,Auto Loan,444500,43,Agent,Approved,
APP0018207,C004352,2021-01-02,2021-01-04,,,Auto Loan,1071200,19,Mobile App,Rejected,High DTI
APP0020325,C009468,2021-01-02,2021-01-04,,,Consumer Loan,15600,18,Branch,Withdrawn,
APP0020823,C005745,2021-01-02,2021-01-05,2021-01-06,2021-01-08,Auto Loan,276900,49,Mobile App,Approved,
APP0021618,C005956,2021-01-02,2021-01-03,,,Personal Loan,38000,43,Mobile App,Rejected,Incomplete Documentation
APP0023838,C010569,2021-01-02,2021-01-04,2021-01-08,2021-01-11,Personal Loan,91300,45,Online,Approved,
APP0025274,C008376,2021-01-02,2021-01-03,2021-01-06,2021-01-06,Personal Loan,116000,42,Mobile App,Approved,
APP0027491,C005951,2021-01-02,2021-01-04,,,Personal Loan,234000,19,Call Center,Rejected,High DTI
APP0032095,C009507,2021-01-02,2021-01-04,2021-01-05,2021-01-05,Personal Loan,143200,28,Call Center,Approved,
APP0035519,C001876,2021-01-02,2021-01-03,,,Small Business Loan,765100,36,Call Center,Rejected,High DTI
APP0035766,C002057,2021-01-02,2021-01-05,,,Consumer Loan,128000,20,Call Center,Rejected,High DTI
APP0036235,C007811,2021-01-02,2021-01-03,,,Personal Loan,154000,33,Agent,Rejected,High DTI
APP0039390,C010903,2021-01-02,2021-01-04,2021-01-06,2021-01-06,Consumer Loan,83700,33,Agent,Approved,
APP0041104,C002559,2021-01-02,2021-01-04,2021-01-07,2021-01-10,Personal Loan,74300,21,Mobile App,Approved,
APP0041679,C000440,2021-01-02,2021-01-04,,,Auto Loan,562500,39,Call Center,Rejected,Low Credit Score
APP0045221,C006098,2021-01-02,2021-01-05,,,Auto Loan,1247600,27,Branch,Rejected,High DTI
APP0045376,C001033,2021-01-02,2021-01-03,,,Auto Loan,1031500,37,Agent,Rejected,High DTI
APP0049671,C005186,2021-01-02,2021-01-03,2021-01-05,2021-01-07,Consumer Loan,74000,20,Mobile App,Approved,
APP0049700,C004448,2021-01-02,2021-01-03,,,Personal Loan,291800,43,Agent,Rejected,High DTI
APP0055035,C002894,2021-01-02,2021-01-04,,,Auto Loan,609500,46,Branch,Rejected,Low Credit Score
APP0058852,C009136,2021-01-02,2021-01-03,2021-01-05,2021-01-08,Consumer Loan,19600,31,Mobile App,Approved,
APP0058976,C010241,2021-01-02,2021-01-05,,,Auto Loan,638400,57,Branch,Rejected,High DTI
APP0061691,C005801,2021-01-02,2021-01-05,,,Auto Loan,187900,13,Mobile App,Rejected,High DTI
APP0061724,C003732,2021-01-02,2021-01-04,,,Auto Loan,1162600,29,Mobile App,Rejected,High DTI
APP0063433,C002624,2021-01-02,2021-01-05,,,Consumer Loan,52300,35,Call Center,Rejected,High DTI
APP0066424,C004518,2021-01-02,2021-01-05,,,Personal Loan,285900,43,Mobile App,Rejected,High DTI
APP0067747,C004148,2021-01-02,2021-01-03,,,Personal Loan,212600,28,Branch,Rejected,High DTI
APP0067911,C008904,2021-01-02,2021-01-05,,,Personal Loan,20700,30,Mobile App,Rejected,High DTI
APP0070346,C003755,2021-01-02,2021-01-03,,,Small Business Loan,1674200,46,Online,Rejected,High DTI
APP0072856,C006639,2021-01-02,2021-01-03,,,Personal Loan,95200,12,Mobile App,Rejected,High DTI
APP0075632,C001905,2021-01-02,2021-01-04,,,Personal Loan,104800,40,Call Center,Withdrawn,
APP0076536,C008988,2021-01-02,2021-01-04,,,Small Business Loan,538500,19,Agent,Rejected,High DTI
APP0076633,C001036,2021-01-02,2021-01-05,2021-01-09,2021-01-12,Consumer Loan,53000,25,Branch,Approved,
APP0078174,C008603,2021-01-02,2021-01-04,,,Auto Loan,234400,49,Agent,Rejected,High DTI
APP0080236,C007672,2021-01-02,2021-01-05,,,Personal Loan,114800,43,Branch,Rejected,High DTI
APP0000073,C002162,2021-01-03,2021-01-06,,,Personal Loan,248900,36,Mobile App,Rejected,High DTI
APP0000735,C005877,2021-01-03,2021-01-04,,,Personal Loan,293100,43,Agent,Rejected,High DTI
APP0002302,C009422,2021-01-03,2021-01-04,2021-01-06,2021-01-09,Auto Loan,249000,54,Agent,Approved,
APP0002934,C001464,2021-01-03,2021-01-05,,,Auto Loan,1416700,56,Mobile App,Rejected,Low Credit Score
APP0005856,C007362,2021-01-03,2021-01-06,,,Personal Loan,145400,7,Branch,Rejected,High DTI
APP0009841,C002959,2021-01-03,2021-01-05,2021-01-09,2021-01-10,Personal Loan,287300,45,Call Center,Approved,
APP0012577,C005956,2021-01-03,2021-01-04,,,Personal Loan,66600,47,Online,Rejected,High DTI
APP0012718,C006439,2021-01-03,2021-01-06,,,Personal Loan,283800,17,Call Center,Rejected,High DTI
APP0014261,C002972,2021-01-03,2021-01-06,2021-01-10,2021-01-11,Personal Loan,65200,34,Branch,Approved,
APP0014324,C005398,2021-01-03,2021-01-06,,,Auto Loan,894800,50,Call Center,Rejected,High DTI
APP0019181,C008571,2021-01-03,2021-01-04,,,Consumer Loan,111500,31,Online,Rejected,Insufficient Income
APP0019427,C004824,2021-01-03,2021-01-04,,,Personal Loan,173900,23,Call Center,Rejected,Low Credit Score
APP0020117,C002302,2021-01-03,2021-01-04,,,Personal Loan,277600,15,Mobile App,Rejected,High DTI
APP0022410,C004355,2021-01-03,2021-01-06,,,Small Business Loan,1307000,19,Mobile App,Rejected,High DTI
APP0024724,C008280,2021-01-03,2021-01-05,,,Personal Loan,172800,22,Call Center,Rejected,High DTI
APP0025292,C010371,2021-01-03,2021-01-04,,,Consumer Loan,91500,13,Mobile App,Rejected,High DTI
APP0025444,C004425,2021-01-03,2021-01-06,,,Small Business Loan,1234600,35,Branch,Rejected,Short Employment History
APP0026881,C001499,2021-01-03,2021-01-04,2021-01-07,2021-01-10,Consumer Loan,29000,27,Online,Approved,
APP0027104,C005278,2021-01-03,2021-01-06,,,Small Business Loan,1447100,51,Branch,Rejected,High DTI
APP0030589,C003990,2021-01-03,2021-01-05,,,Small Business Loan,1319500,26,Branch,Rejected,High DTI
APP0030593,C001880,2021-01-03,2021-01-04,,,Small Business Loan,272600,17,Branch,Rejected,Low Credit Score
APP0031780,C008973,2021-01-03,2021-01-04,,,Personal Loan,254700,17,Call Center,Rejected,High DTI
APP0035145,C001651,2021-01-03,2021-01-05,2021-01-08,2021-01-09,Personal Loan,38900,46,Agent,Approved,
APP0037365,C005340,2021-01-03,2021-01-06,,,Small Business Loan,212800,52,Branch,Rejected,High DTI
APP0037545,C007521,2021-01-03,2021-01-04,,,Auto Loan,985100,46,Online,Rejected,Low Credit Score
APP0038226,C006102,2021-01-03,2021-01-04,2021-01-07,2021-01-08,Personal Loan,133800,14,Online,Approved,
APP0039690,C000639,2021-01-03,2021-01-04,,,Personal Loan,117600,32,Online,Rejected,Short Employment History
APP0040861,C002295,2021-01-03,2021-01-06,2021-01-08,2021-01-10,Consumer Loan,10600,12,Online,Approved,
APP0041687,C005892,2021-01-03,2021-01-06,,,Auto Loan,612700,35,Mobile App,Rejected,High DTI
APP0043278,C003708,2021-01-03,2021-01-05,,,Personal Loan,233700,31,Branch,Rejected,High DTI
APP0043808,C001906,2021-01-03,2021-01-04,,,Personal Loan,283400,47,Mobile App,Rejected,High DTI
APP0048948,C006246,2021-01-03,2021-01-06,,,Auto Loan,484100,49,Mobile App,Rejected,High DTI
APP0049682,C003987,2021-01-03,2021-01-04,,,Consumer Loan,133200,16,Agent,Rejected,High DTI
APP0050297,C001823,2021-01-03,2021-01-05,,,Personal Loan,196100,48,Branch,Rejected,High DTI
APP0051461,C002191,2021-01-03,2021-01-05,,,Personal Loan,212400,40,Online,Rejected,High DTI
APP0053635,C004455,2021-01-03,2021-01-04,,,Personal Loan,154100,42,Branch,Rejected,High DTI
APP0053963,C002886,2021-01-03,2021-01-04,,,Small Business Loan,851800,22,Mobile App,Rejected,High DTI
APP0054098,C001204,2021-01-03,2021-01-05,,,Consumer Loan,105700,24,Branch,Rejected,High DTI
APP0055307,C000203,2021-01-03,2021-01-05,,,Personal Loan,193000,24,Mobile App,Rejected,High DTI
APP0056623,C001740,2021-01-03,2021-01-04,,,Auto Loan,1258700,38,Mobile App,Rejected,High DTI
APP0058731,C006756,2021-01-03,2021-01-05,,,Personal Loan,279500,35,Branch,Rejected,High DTI
APP0059877,C002135,2021-01-03,2021-01-04,,,Small Business Loan,1861900,29,Mobile App,Rejected,High DTI
APP0060553,C006222,2021-01-03,2021-01-04,2021-01-05,2021-01-05,Consumer Loan,135400,30,Call Center,Approved,
APP0060623,C007724,2021-01-03,2021-01-06,,,Personal Loan,170900,8,Branch,Rejected,High DTI
APP0061419,C001878,2021-01-03,2021-01-05,2021-01-09,2021-01-11,Consumer Loan,123200,23,Branch,Approved,
APP0061863,C007370,2021-01-03,2021-01-05,,,Personal Loan,274900,6,Branch,Rejected,High DTI
APP0062607,C003755,2021-01-03,2021-01-06,,,Consumer Loan,76000,17,Call Center,Rejected,High DTI
APP0064899,C006064,2021-01-03,2021-01-05,,,Personal Loan,232800,41,Online,Rejected,High DTI
APP0070203,C006924,2021-01-03,2021-01-04,,,Auto Loan,953000,58,Mobile App,Rejected,High DTI
APP0073010,C010006,2021-01-03,2021-01-06,,,Auto Loan,296700,13,Mobile App,Rejected,High DTI
APP0073050,C006759,2021-01-03,2021-01-05,,,Personal Loan,255800,20,Agent,Rejected,High DTI
APP0073581,C001403,2021-01-03,2021-01-05,,,Small Business Loan,562300,33,Branch,Rejected,Short Employment History
APP0073810,C007712,2021-01-03,2021-01-05,,,Personal Loan,105600,24,Call Center,Rejected,High DTI
APP0078314,C005640,2021-01-03,2021-01-04,,,Small Business Loan,1998200,57,Mobile App,Rejected,Low Credit Score
APP0002057,C004658,2021-01-04,2021-01-07,,,Personal Loan,278400,27,Branch,Rejected,High DTI
APP0003281,C005571,2021-01-04,2021-01-06,2021-01-08,2021-01-10,Consumer Loan,38100,12,Online,Approved,
APP0003686,C000300,2021-01-04,2021-01-07,2021-01-09,2021-01-11,Consumer Loan,125700,33,Mobile App,Approved,
APP0004815,C001018,2021-01-04,2021-01-05,2021-01-09,2021-01-12,Consumer Loan,106400,28,Call Center,Approved,
APP0005777,C010676,2021-01-04,2021-01-05,2021-01-09,2021-01-09,Consumer Loan,64500,31,Branch,Approved,
APP0005787,C009801,2021-01-04,2021-01-07,,,Consumer Loan,139200,30,Mobile App,Rejected,Low Credit Score
APP0006069,C008791,2021-01-04,2021-01-06,2021-01-10,2021-01-13,Consumer Loan,49100,21,Online,Approved,
APP0007452,C010843,2021-01-04,2021-01-05,2021-01-08,2021-01-09,Personal Loan,111100,27,Online,Approved,
APP0009905,C006171,2021-01-04,2021-01-06,,,Personal Loan,242200,27,Online,Rejected,High DTI
APP0013634,C006213,2021-01-04,2021-01-06,,,Auto Loan,569200,53,Agent,Rejected,Low Credit Score
APP0014522,C010641,2021-01-04,2021-01-05,,,Consumer Loan,112700,16,Agent,Rejected,Low Credit Score
APP0015647,C006601,2021-01-04,2021-01-06,2021-01-08,2021-01-11,Personal Loan,81100,37,Call Center,Approved,
APP0017046,C005736,2021-01-04,2021-01-06,,,Auto Loan,745900,41,Mobile App,Rejected,High DTI
APP0017403,C009845,2021-01-04,2021-01-05,,,Auto Loan,640300,38,Online,Rejected,High DTI
APP0018504,C008589,2021-01-04,2021-01-07,,,Small Business Loan,1071000,14,Mobile App,Rejected,High DTI
APP0023108,C010997,2021-01-04,2021-01-05,,,Personal Loan,121500,11,Mobile App,Rejected,High DTI
APP0025060,C009846,2021-01-04,2021-01-07,,,Personal Loan,47100,11,Online,Rejected,High DTI
APP0025951,C000499,2021-01-04,2021-01-05,2021-01-07,2021-01-10,Personal Loan,50500,37,Agent,Approved,
APP0029192,C007089,2021-01-04,2021-01-07,,,Personal Loan,192200,7,Call Center,Rejected,High DTI
APP0032437,C002330,2021-01-04,2021-01-05,,,Small Business Loan,653000,37,Branch,Rejected,High DTI
APP0032604,C000268,2021-01-04,2021-01-07,2021-01-10,2021-01-11,Auto Loan,563500,54,Agent,Approved,
APP0036343,C002561,2021-01-04,2021-01-05,,,Auto Loan,738600,51,Agent,Rejected,High DTI
APP0039671,C007560,2021-01-04,2021-01-05,,,Consumer Loan,83100,12,Agent,Rejected,High DTI
APP0043378,C009217,2021-01-04,2021-01-06,,,Auto Loan,1390000,55,Mobile App,Rejected,High DTI
APP0047992,C008947,2021-01-04,2021-01-05,,,Consumer Loan,64200,7,Call Center,Rejected,High DTI
APP0048153,C007233,2021-01-04,2021-01-06,,,Personal Loan,215500,32,Agent,Rejected,High DTI
APP0050329,C009001,2021-01-04,2021-01-05,,,Personal Loan,298200,15,Branch,Rejected,High DTI
APP0051033,C005025,2021-01-04,2021-01-07,,,Auto Loan,848400,18,Mobile App,Rejected,High DTI
APP0051109,C002142,2021-01-04,2021-01-05,,,Auto Loan,1425000,41,Mobile App,Rejected,High DTI
APP0054502,C002378,2021-01-04,2021-01-05,,,Personal Loan,176100,43,Online,Rejected,High DTI
APP0057796,C008161,2021-01-04,2021-01-07,,,Personal Loan,151700,18,Mobile App,Rejected,High DTI
APP0058403,C009901,2021-01-04,2021-01-07,,,Consumer Loan,145000,17,Branch,Rejected,High DTI
APP0058883,C009757,2021-01-04,2021-01-05,2021-01-06,2021-01-09,Personal Loan,36100,12,Branch,Approved,
APP0061774,C008754,2021-01-04,2021-01-07,,,Personal Loan,276500,20,Mobile App,Rejected,High DTI
APP0070917,C003957,2021-01-04,2021-01-05,,,Auto Loan,1469000,49,Mobile App,Rejected,High DTI
APP0071400,C000233,2021-01-04,2021-01-06,,,Auto Loan,171600,35,Online,Rejected,High DTI
APP0072878,C002353,2021-01-04,2021-01-06,2021-01-08,2021-01-08,Personal Loan,133900,28,Branch,Approved,
APP0073763,C010672,2021-01-04,2021-01-06,,,Consumer Loan,66600,18,Branch,Rejected,High DTI
APP0074394,C003187,2021-01-04,2021-01-06,,,Consumer Loan,137100,32,Mobile App,Rejected,High DTI
APP0075784,C002739,2021-01-04,2021-01-06,,,Consumer Loan,36900,14,Branch,Rejected,High DTI
APP0079326,C009878,2021-01-04,2021-01-07,2021-01-10,2021-01-13,Personal Loan,57200,46,Online,Approved,
APP0002175,C004154,2021-01-05,2021-01-08,2021-01-09,2021-01-09,Personal Loan,217600,17,Online,Approved,
APP0003955,C009734,2021-01-05,2021-01-06,,,Auto Loan,1367400,28,Branch,Rejected,High DTI
APP0005687,C001549,2021-01-05,2021-01-06,,,Personal Loan,298900,39,Online,Rejected,Low Credit Score
APP0008598,C000274,2021-01-05,2021-01-06,,,Small Business Loan,1748100,45,Call Center,Rejected,Low Credit Score
APP0009495,C008973,2021-01-05,2021-01-07,2021-01-09,2021-01-09,Consumer Loan,56300,23,Call Center,Approved,
APP0015516,C005377,2021-01-05,2021-01-07,,,Personal Loan,255300,47,Call Center,Rejected,High DTI
APP0017113,C004272,2021-01-05,2021-01-08,,,Personal Loan,199700,33,Online,Rejected,High DTI
APP0026859,C002028,2021-01-05,2021-01-08,,,Consumer Loan,111500,7,Online,Rejected,Low Credit Score
APP0027048,C009918,2021-01-05,2021-01-06,2021-01-09,2021-01-11,Personal Loan,107100,37,Agent,Approved,
APP0027161,C006029,2021-01-05,2021-01-08,,,Personal Loan,177300,33,Branch,Rejected,High DTI
APP0028088,C002155,2021-01-05,2021-01-08,2021-01-10,2021-01-11,Consumer Loan,24700,9,Call Center,Approved,
APP0028257,C006505,2021-01-05,2021-01-08,,,Auto Loan,536500,54,Online,Rejected,High DTI
APP0028341,C000774,2021-01-05,2021-01-07,,,Consumer Loan,126400,12,Mobile App,Rejected,High DTI
APP0031081,C002168,2021-01-05,2021-01-06,2021-01-09,2021-01-12,Personal Loan,129000,22,Call Center,Approved,
APP0032427,C007203,2021-01-05,2021-01-07,2021-01-11,2021-01-14,Consumer Loan,120000,26,Mobile App,Approved,
APP0034129,C008798,2021-01-05,2021-01-08,2021-01-12,2021-01-13,Consumer Loan,22400,16,Branch,Approved,
APP0034922,C001993,2021-01-05,2021-01-08,,,Auto Loan,394300,30,Agent,Rejected,High DTI
APP0035894,C007593,2021-01-05,2021-01-08,,,Personal Loan,89700,14,Branch,Rejected,High DTI
APP0035919,C003706,2021-01-05,2021-01-08,,,Consumer Loan,57000,12,Online,Rejected,Incomplete Documentation
APP0037837,C002526,2021-01-05,2021-01-08,,,Small Business Loan,939000,39,Branch,Rejected,High DTI
APP0037994,C007307,2021-01-05,2021-01-06,,,Auto Loan,1442900,22,Online,Rejected,High DTI
APP0038046,C009866,2021-01-05,2021-01-06,,,Small Business Loan,801500,18,Online,Rejected,Low Credit Score
APP0038225,C003834,2021-01-05,2021-01-07,,,Personal Loan,288100,24,Online,Rejected,High DTI
APP0040607,C006535,2021-01-05,2021-01-07,2021-01-09,2021-01-09,Personal Loan,152700,27,Mobile App,Approved,
APP0043078,C010366,2021-01-05,2021-01-08,2021-01-09,2021-01-11,Personal Loan,32300,42,Online,Approved,
APP0044563,C005064,2021-01-05,2021-01-06,,,Auto Loan,392200,59,Mobile App,Rejected,Low Credit Score
APP0044940,C005541,2021-01-05,2021-01-07,,,Small Business Loan,1062800,54,Branch,Rejected,High DTI
APP0047792,C004864,2021-01-05,2021-01-08,2021-01-10,2021-01-10,Personal Loan,163700,32,Branch,Approved,
APP0048695,C008338,2021-01-05,2021-01-07,,,Consumer Loan,117200,22,Mobile App,Rejected,Low Credit Score
APP0049226,C008881,2021-01-05,2021-01-07,,,Consumer Loan,34300,21,Mobile App,Rejected,Low Credit Score
APP0049380,C009777,2021-01-05,2021-01-07,2021-01-09,2021-01-10,Consumer Loan,95200,11,Branch,Approved,
APP0050399,C003540,2021-01-05,2021-01-08,,,Auto Loan,724300,14,Branch,Rejected,Low Credit Score
APP0051210,C001579,2021-01-05,2021-01-07,2021-01-11,2021-01-11,Personal Loan,110300,41,Online,Approved,
APP0053270,C000906,2021-01-05,2021-01-08,,,Small Business Loan,1780200,31,Mobile App,Rejected,High DTI
APP0054486,C008529,2021-01-05,2021-01-08,,,Auto Loan,842800,49,Branch,Rejected,High DTI
APP0056648,C009714,2021-01-05,2021-01-06,,,Small Business Loan,985900,16,Agent,Rejected,High DTI
APP0057341,C006400,2021-01-05,2021-01-07,,,Personal Loan,252400,10,Branch,Rejected,High DTI
APP0057583,C004342,2021-01-05,2021-01-07,,,Personal Loan,262200,31,Branch,Rejected,Low Credit Score
APP0058391,C003821,2021-01-05,2021-01-07,,,Personal Loan,219700,28,Online,Rejected,Low Credit Score
APP0058831,C003514,2021-01-05,2021-01-07,,,Small Business Loan,1482600,57,Call Center,Rejected,High DTI
APP0059970,C008536,2021-01-05,2021-01-07,,,Small Business Loan,1790300,13,Agent,Rejected,Low Credit Score
APP0063801,C003938,2021-01-05,2021-01-06,,,Personal Loan,62400,24,Mobile App,Rejected,High DTI
APP0064036,C009006,2021-01-05,2021-01-07,2021-01-09,2021-01-11,Personal Loan,21500,12,Call Center,Approved,
APP0068586,C010070,2021-01-05,2021-01-08,,,Personal Loan,239100,27,Branch,Rejected,High DTI
APP0073949,C008253,2021-01-05,2021-01-06,,,Personal Loan,116600,42,Branch,Rejected,High DTI
APP0075361,C010413,2021-01-05,2021-01-07,,,Personal Loan,170800,24,Branch,Rejected,High DTI
APP0075958,C002117,2021-01-05,2021-01-08,,,Auto Loan,1374900,31,Online,Rejected,High DTI
APP0077064,C002091,2021-01-05,2021-01-07,,,Personal Loan,83200,8,Mobile App,Rejected,High DTI
APP0077411,C002051,2021-01-05,2021-01-07,,,Personal Loan,278700,8,Online,Rejected,Low Credit Score
APP0002172,C003837,2021-01-06,2021-01-09,,,Auto Loan,1499400,23,Mobile App,Rejected,High DTI
APP0007379,C000300,2021-01-06,2021-01-09,2021-01-11,2021-01-11,Consumer Loan,75500,17,Mobile App,Approved,
APP0009746,C007325,2021-01-06,2021-01-07,2021-01-11,2021-01-14,Personal Loan,122500,47,Mobile App,Approved,
APP0011366,C000699,2021-01-06,2021-01-07,2021-01-10,2021-01-11,Personal Loan,151900,44,Call Center,Approved,
